reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return_history,reference_Q_std,rollout/return,train/param_noise_distance,success rate,reference_actor_Q_mean,reference_Q_mean,rollout/actions_std,total/steps,rollout/Q_mean,train/loss_critic,total/steps_per_second,total/duration,rollout/goal_tolerance,reference_action_std,rollout/error,total/episodes,rollout/episodes,errors,reference_action_mean,train/loss_actor,rollout/actions_mean
1.9960582,15.854026845637584,1,-4.8,1.8156552,-14.911912751677852,0.0,1.0,-2.7825227,-3.4536185,0.6752616,18998,-2.2572198,0.118478954,26.649599173054213,712.881266117096,0.01926,0.8811181,0.18543,1192,1192,0.013784511722050436,0.02091164,2.0020025,0.03863038
2.0789158,15.19452887537994,1,-7.47,1.9136132,-14.248480243161094,0.0,0.99,-2.788053,-3.4663439,0.68171775,19998,-2.3223872,0.12502334,26.445180583464463,756.2058401107788,0.01922,0.87005085,0.1091,1316,1316,0.01478201889352913,0.08262606,1.9394112,0.03752402
2.158582,14.127187079407806,1,-4.57,2.0072742,-13.174966352624494,0.0,1.0,-2.7666078,-3.4456892,0.68692875,20998,-2.3396318,0.13136666,26.211399998979008,801.1018106937408,0.01918,0.8703832,0.02562,1486,1486,0.01343538037858063,0.062671594,1.9566684,0.03440736
2.2379882,13.372333942717855,1,-5.14,2.0972788,-12.415600243753808,0.0,1.0,-2.7390935,-3.4436476,0.691328,21998,-2.3697088,0.13047615,25.990233871033574,846.394846200943,0.01914,0.8724561,0.23113,1641,1641,0.013828659778971684,0.051255573,1.9097023,0.032370836
2.298103,13.134209023415192,1,-7.54,2.1549833,-12.175899486007996,0.0,0.99,-2.6976957,-3.39095,0.69527525,22998,-2.4122,0.12579697,25.803467045726983,891.2755777835846,0.0191,0.87538236,0.02029,1751,1751,0.013443491761339665,0.08759934,1.8398831,0.028930623
2.3627055,12.543125980135912,1,-5.33,2.2164528,-11.58128593831678,0.0,1.0,-2.682866,-3.4080346,0.69941455,23998,-2.4268243,0.121766,25.66199093178469,935.1573719978333,0.01906,0.8740911,0.07853,1913,1913,0.013389941784542508,0.04276335,1.8257965,0.02688809
2.4394841,11.983700862895494,1,-4.8,2.301909,-11.01869606903164,0.0,1.0,-2.6546376,-3.376931,0.7030903,24998,-2.4371219,0.10896368,25.52939402772717,979.1850121021271,0.01903,0.8707292,0.07066,2086,2086,0.013261416484675373,0.05294332,1.7894418,0.026988462
2.4953089,11.53416149068323,1,-4.75,2.354601,-10.566548358473824,0.0,1.0,-2.6590078,-3.3888264,0.7062259,25998,-2.457113,0.11751278,25.391937852890248,1023.8682904243469,0.01899,0.8694595,0.13781,2254,2254,0.012678756456819635,0.057894062,1.7434868,0.026649993
2.5447025,11.105306458247634,1,-4.85,2.401994,-10.135335252982312,0.0,1.0,-2.6070771,-3.3480852,0.70954955,26998,-2.4697025,0.120731935,25.274848150011103,1068.1765460968018,0.01895,0.8665094,0.02459,2431,2431,0.013391427232713794,0.07534328,1.6734221,0.024086496
2.5801344,10.750768049155146,1,-5.17,2.4531476,-9.778801843317972,0.0,1.0,-2.5652184,-3.3051782,0.71224886,27998,-2.477869,0.11623606,25.159104693084352,1112.8376920223236,0.01891,0.86892563,0.02791,2604,2604,0.01305494205629875,0.048408043,1.6071719,0.022853827
2.6289728,10.46553590761458,1,-4.86,2.4954753,-9.491880187657886,0.0,1.0,-2.509343,-3.2688437,0.7146174,28998,-2.4878185,0.10902525,25.02790028027812,1158.626959323883,0.01887,0.86615545,0.0125,2771,2771,0.012725858739703324,0.057477713,1.5676675,0.02274155
2.6795862,10.234049812350733,1,-5.61,2.545479,-9.258955987717503,0.0,1.0,-2.5174294,-3.2761517,0.7171889,29998,-2.5129752,0.10098882,24.921676701464467,1203.691082239151,0.01884,0.86445963,0.11259,2931,2931,0.012536377489615282,0.062938154,1.5847515,0.02174109
2.7481687,9.935897435897436,1,-3.62,2.6169708,-8.959294871794873,0.0,1.0,-2.4889247,-3.2624922,0.7196238,30998,-2.5111108,0.09867405,24.820350687003067,1248.8945217132568,0.0188,0.8640241,0.01008,3120,3120,0.012558620872629777,0.070190914,1.5164293,0.020722551
2.7377934,9.707220873786408,1,-4.63,2.6196744,-8.729368932038835,0.0,1.0,-2.4049037,-3.1769528,0.7218386,31998,-2.5197945,0.09852138,24.731399913339356,1293.8208153247833,0.01876,0.867028,0.06331,3296,3296,0.012135571361992354,0.03502843,1.4929012,0.019332374
2.791501,9.531773541305604,1,-5.1,2.6725993,-8.552859618717504,0.0,1.0,-2.408874,-3.1976452,0.7234908,32998,-2.526964,0.08621148,24.647925599741775,1338.7739210128784,0.01872,0.86852145,0.05253,3462,3462,0.012431904281650627,0.025329953,1.4051405,0.020723455
2.8250878,9.324190894130554,1,-4.24,2.7164485,-8.34421283598464,0.0,1.0,-2.3459604,-3.1346924,0.7255556,33998,-2.5351288,0.097613074,24.56388048047635,1384.0647053718567,0.01869,0.8616064,0.0973,3646,3646,0.012509348768649802,0.066977955,1.3742213,0.02057392
2.859386,9.15032679738562,1,-3.94,2.742874,-8.169411764705883,0.0,1.0,-2.3357844,-3.1281347,0.7271524,34998,-2.5366518,0.09731149,24.469038585564626,1430.297307252884,0.01865,0.87042814,0.00646,3825,3825,0.012380717935428392,0.049825717,1.3691756,0.018628588
2.8965337,9.040683073832245,1,-6.61,2.8034015,-8.059015570065293,0.0,1.0,-2.2994115,-3.0823565,0.7287054,35998,-2.545229,0.105852365,24.399335149343745,1475.3680696487427,0.01861,0.87347835,0.01631,3982,3982,0.013050815017405798,0.03551231,1.2951639,0.017805375
