train/loss_actor,total/steps,success rate,total/steps_per_second,train/loss_critic,rollout/actions_std,errors,rollout/error,reference_action_mean,rollout/return,total/duration,rollout/actions_mean,reference_Q_mean,total/epochs,rollout/return_history,rollout/Q_mean,total/episodes,rollout/goal_tolerance,rollout/episodes,reference_Q_std,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,reference_action_std,reference_actor_Q_std
1.5441444,1848998,1.0,21.590400570663846,0.062022153,0.7134344,0.000661050697235601,0.13967,0.115531616,-7.738708381578014,85639.81913852692,0.0018857936,-2.9230247,1,-11.91,-3.3101673,211595,0.001,211595,2.9892888,0.0,8.738349204848886,-2.1606402,0.8425627,2.9416912
1.5542133,1849998,1.0,21.590027075666324,0.063162744,0.71340424,0.0006565025752073143,0.00646,0.10274232,-7.740061508808232,85687.61833953857,0.001885598,-2.9212694,1,-11.21,-3.3101323,211677,0.001,211677,2.9621503,0.0,8.73970247121794,-2.1609802,0.84871656,2.9231458
1.5501801,1850998,1.0,21.58955715276614,0.08032717,0.7133745,0.0006781987925350598,0.00712,0.08432878,-7.741335751153423,85735.80212426186,0.0019019142,-2.616469,1,-11.2,-3.310126,211761,0.001,211761,3.004125,0.0,8.740976855983869,-1.780062,0.8514742,3.0481315
1.5137726,1851998,0.99,21.589060729206647,0.06421091,0.713331,0.0007141244436549337,0.0104,0.118510604,-7.74300280878986,85784.09330677986,0.0019169361,-2.8769116,1,-12.1,-3.310078,211835,0.001,211835,2.9892507,0.0,8.742639318337385,-2.112508,0.84455705,2.959699
1.5823137,1852998,1.0,21.58875637965545,0.064379185,0.71330005,0.000708004200934522,0.00229,0.0935053,-7.743680726274118,85831.62306404114,0.0019302309,-2.7833242,1,-9.3,-3.309944,211931,0.001,211931,2.9864614,0.0,8.743317400474682,-1.9988925,0.84781367,2.9864638
1.5601774,1853998,1.0,21.588444780415116,0.06343522,0.71325123,0.0006639543630063634,0.02694,0.111492835,-7.745925573014203,85879.183000803,0.0019438462,-2.8680203,1,-13.05,-3.3100555,211993,0.001,211993,2.987484,0.0,8.745562353473936,-2.1020916,0.84405285,2.9723032
1.5447127,1854998,1.0,21.58791269670815,0.061013374,0.71322864,0.000689604458509439,0.10757,0.13128518,-7.746832637857463,85927.6219086647,0.0019729536,-2.768397,1,-10.17,-3.309966,212085,0.001,212085,2.9999313,0.0,8.746469575877596,-2.0014,0.8424986,2.9881241
1.525515,1855998,1.0,21.587774432227782,0.059587125,0.71320313,0.0006699249189746979,0.10352,0.09850943,-7.747382013893471,85974.49476909637,0.0019636685,-2.809525,1,-8.77,-3.3098085,212186,0.001,212186,2.9866102,0.0,8.747019124730189,-2.0427556,0.83503765,2.9646745
1.5954905,1856998,1.0,21.587335416265258,0.067745134,0.71317065,0.000648530893670037,0.04199,0.044287965,-7.748480737160462,86022.56666660309,0.0019554496,-2.8654559,1,-9.9,-3.3100562,212274,0.001,212274,3.012214,0.0,8.748117998435983,-2.0758018,0.84170806,2.984418
1.5314801,1857998,1.0,21.58725706755392,0.061466053,0.71314406,0.0006497834506570026,0.0539,0.055275675,-7.749193628131901,86069.20250153542,0.001963006,-2.8405385,1,-10.15,-3.3099623,212371,0.001,212371,3.004052,0.0,8.748831055087559,-2.0529022,0.8426338,2.9802215
1.5765843,1858998,1.0,21.58728458459812,0.07358871,0.7131184,0.0006381169542468943,0.09096,0.10328007,-7.750354195986877,86115.41635608673,0.0019948746,-2.8184254,1,-10.67,-3.310255,212453,0.001,212453,3.0164142,0.0,8.749991762884026,-2.0355182,0.83816135,2.9965003
1.5295856,1859998,1.0,21.58688380736327,0.066747755,0.7130909,0.000661236522225,0.1127,0.06886863,-7.7508138878434325,86163.33958148956,0.0019864666,-2.8344421,1,-8.22,-3.3101444,212560,0.001,212560,2.9777372,0.0,8.750451637184796,-2.0567327,0.849329,2.9727757
1.5132594,1860998,1.0,21.58662454778384,0.06110552,0.7130679,0.0006445535917723878,0.01922,0.08667616,-7.752110344568126,86210.6994023323,0.0019912221,-2.8358736,1,-10.64,-3.3103535,212643,0.001,212643,3.0198262,0.0,8.751748235305183,-2.08856,0.8442304,2.994248
1.5374005,1861998,1.0,21.586323583109035,0.06053986,0.7130439,0.0006619711777399754,0.0149,0.0671482,-7.752900308363418,86258.22701263428,0.002013348,-2.8581254,1,-9.97,-3.3105304,212736,0.001,212736,2.9991374,0.0,8.752538357400722,-2.1135392,0.84937286,2.9481106
1.5244806,1862998,1.0,21.585950523266444,0.062401563,0.71300626,0.0006671046315929959,0.00579,0.06103644,-7.753854105485727,86306.04420185089,0.0020279512,-2.850874,1,-9.96,-3.310371,212825,0.001,212825,3.0299494,0.0,8.753492305885118,-2.0702434,0.8365136,3.0144806
1.5132793,1863998,1.0,21.585391488698615,0.06307395,0.71297973,0.0006587281002941572,0.0402,0.074749045,-7.7550971523580055,86354.60704874992,0.002023863,-2.8109682,1,-10.32,-3.3104303,212913,0.001,212913,2.983381,0.0,8.754735502294364,-2.0663652,0.83941925,2.945888
1.523993,1864998,1.0,21.584960375088848,0.06155695,0.7129506,0.0006277690885298466,0.01393,0.09068763,-7.756439148520616,86402.66035199165,0.0020074898,-2.810496,1,-10.99,-3.310495,212994,0.001,212994,2.9861326,0.0,8.756077635989746,-2.0319436,0.84093636,2.9748096
1.510384,1865998,1.0,21.584598511155015,0.06020125,0.71292186,0.0006767139978016537,0.00069,0.07386299,-7.7576356298104,86450.43821573257,0.0020075743,-2.8710546,1,-11.37,-3.3104725,213080,0.001,213080,2.9852922,0.0,8.757274263187535,-2.0985913,0.83991784,2.9660964
1.5532097,1866998,1.0,21.584439875015644,0.0585361,0.7128904,0.0006768234555187755,0.01695,0.08597114,-7.758869972743863,86497.40325951576,0.0020183665,-2.8302274,1,-10.92,-3.3105583,213163,0.001,213163,2.9819798,0.0,8.758508746827545,-2.070459,0.8394191,2.9555366
1.5514842,1867998,1.0,21.58424147632514,0.0683737,0.7128581,0.0006734852530013457,0.07219,0.121948265,-7.759833436497665,86544.52842593193,0.0020090404,-2.8464243,1,-10.52,-3.3105338,213252,0.001,213252,2.9916632,0.0,8.75947236133776,-2.0844185,0.8407222,2.966853
1.5135576,1868998,1.0,21.58406873097397,0.06295641,0.7128225,0.0006969324670505929,0.00108,0.113207996,-7.760876901875862,86591.55154180527,0.002025306,-2.8270652,1,-10.63,-3.3103902,213342,0.001,213342,2.9793596,0.0,8.760515979038352,-2.0667455,0.8371637,2.9564407
1.5605236,1869998,1.0,21.583544722712464,0.0625316,0.7127839,0.0006669603428753054,0.00262,0.08827141,-7.762246805639505,86639.98541593552,0.002041484,-2.8709197,1,-11.53,-3.3106132,213423,0.001,213423,2.976115,0.0,8.76188601978231,-2.1184983,0.8394067,2.9480503
1.5441132,1870998,1.0,21.583135769428615,0.06771053,0.712759,0.0006314057128039287,0.01541,0.089696825,-7.763337720304809,86687.95952486992,0.0020528184,-2.7466788,1,-10.46,-3.31066,213511,0.001,213511,3.0063593,0.0,8.762977083147941,-2.0170515,0.83693,2.9639022
