train/loss_critic,total/steps,rollout/error,rollout/return_history,rollout/actions_std,rollout/Q_mean,reference_action_mean,train/loss_actor,errors,reference_action_std,total/epochs,rollout/actions_mean,rollout/return,total/duration,rollout/goal_tolerance,reference_Q_mean,total/steps_per_second,reference_Q_std,success rate,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,rollout/episodes,total/episodes,reference_actor_Q_std
0.21436489,2529998,0.07481,-30.13,0.64421433,-5.431938,0.12880825,4.784559,0.00169262627542021,0.8109711,1,0.0038844415,-15.70443931398417,108484.18323159218,0.001,-4.1695795,23.321353626260493,3.0293138,0.93,0.0,16.688562005277046,-3.7251334,151600,151600,2.8968596
0.2129185,2530998,0.03476,-28.9,0.64420253,-5.4325223,0.12465047,4.88618,0.0011875568080134454,0.8118739,1,0.0038898892,-15.70655965813544,108530.80348443985,0.001,-4.1091833,23.32054973096068,3.0201175,0.95,0.0,16.690679838300174,-3.6467838,151639,151639,2.9143178
0.20295765,2531998,0.08951,-26.56,0.64417773,-5.432685,0.118646674,4.818803,0.0017276760135541116,0.8218793,1,0.0038713138,-15.709495365059272,108577.25416827202,0.001,-4.136048,23.31978294529288,3.0310807,0.95,0.0,16.69360602344502,-3.6499045,151674,151674,2.9260838
0.25361782,2532998,0.00176,-25.35,0.64416003,-5.432955,0.11216727,4.770639,0.001445833207684928,0.8146137,1,0.0038647554,-15.711854351781053,108624.18146777153,0.001,-4.1440353,23.31891449742738,3.0038178,0.97,0.0,16.695961979592376,-3.707428,151708,151708,2.8632336
0.20791508,2533998,0.00643,-27.32,0.644129,-5.4327316,0.13778739,4.8167057,0.001455830942302727,0.80877566,1,0.003853323,-15.714923061715378,108670.86410546303,0.001,-4.169201,23.31809929790199,3.080722,0.97,0.0,16.69902797456259,-3.6952806,151745,151745,2.9363556
0.24429016,2534998,0.01633,-30.26,0.6441008,-5.432665,0.1115712,4.761511,0.0019636456809512502,0.8145523,1,0.0038565958,-15.717985886445849,108716.94621276855,0.001,-4.1668925,23.317413598417193,3.061393,0.95,0.0,16.70208013494192,-3.6928225,151769,151769,2.9412227
0.22170174,2535998,0.17959,-33.06,0.6440623,-5.43306,0.13765906,4.72708,0.0019415677753451118,0.81255287,1,0.0038761853,-15.722742664400437,108765.43618035316,0.001,-4.1728287,23.31621229187963,3.0665724,0.95,0.0,16.706826356772996,-3.7079115,151794,151794,2.9458807
0.22931448,2536998,0.04041,-31.54,0.6440584,-5.433405,0.14292377,4.7268167,0.0018884492403953455,0.81191266,1,0.0038678409,-15.724780189020978,108813.34163999557,0.001,-4.207391,23.315137296247666,3.0390325,0.94,0.0,16.708855007080054,-3.7440708,151835,151835,2.92839
0.18676558,2537998,0.04385,-25.8,0.64402604,-5.43318,0.112404466,4.7745686,0.001111120865055673,0.8157344,1,0.0038872366,-15.726558642076917,108860.4892513752,0.001,-4.1468067,23.314225551011276,3.0333207,0.96,0.0,16.710631489541015,-3.6465576,151879,151879,2.8941236
0.18293938,2538998,0.01806,-25.63,0.64401627,-5.433475,0.116012104,4.7616663,0.0008306303238043582,0.8117176,1,0.0038854382,-15.729262528717472,108906.33450555801,0.001,-4.138558,23.31359338763185,3.0150537,0.97,0.0,16.713338731230788,-3.6420255,151911,151911,2.8858426
0.17926607,2539998,0.0035,-27.21,0.6439899,-5.4337106,0.15030193,4.690064,0.0012917829192964157,0.80775845,1,0.003883898,-15.732275898380939,108952.72675871849,0.001,-4.146581,23.312844713147552,3.0343068,0.97,0.0,16.71634197709622,-3.700868,151940,151940,2.891013
0.24932794,2540998,0.04976,-28.78,0.64395994,-5.4335403,0.13795203,4.7231975,0.0012806370210035605,0.81165457,1,0.0038795776,-15.73517568101066,108999.28095149994,0.001,-4.0363064,23.312062041314167,3.0818353,0.97,0.0,16.71923937360179,-3.5740843,151980,151980,2.9445994
0.21224935,2541998,0.0026,-25.39,0.64395493,-5.4336276,0.109209575,4.7177587,0.0015723530281112799,0.8204365,1,0.0038959745,-15.73719420343242,109045.86631560326,0.001,-4.079774,23.31127337411293,3.07927,0.97,0.0,16.72125561600042,-3.6491117,152021,152021,2.9581492
0.19602673,2542998,0.00095,-23.92,0.6439391,-5.433523,0.12973644,4.725368,0.0013335919995962097,0.812686,1,0.0039050123,-15.739609364724451,109092.9190018177,0.001,-4.0509157,23.310385525183616,3.0358243,0.97,0.0,16.723661712481913,-3.5895305,152060,152060,2.9310286
0.16285118,2543998,0.01134,-23.24,0.6439156,-5.433366,0.12090824,4.729037,0.0010415247095471496,0.8139219,1,0.0039039266,-15.741308578341135,109138.9773285389,0.001,-4.116433,23.309710813414107,3.0559356,0.97,0.0,16.72535896491874,-3.6714082,152104,152104,2.9389236
0.21870169,2544998,0.00209,-22.88,0.64389175,-5.433896,0.13238896,4.6679316,0.000826516623636097,0.8106469,1,0.003902096,-15.743387843096015,109184.90806031227,0.001,-4.0691557,23.3090639101347,3.068936,0.97,0.0,16.727435850247133,-3.6269093,152144,152144,2.9357147
0.24122368,2545998,0.07852,-25.96,0.64386016,-5.4339767,0.12260119,4.6994576,0.0008905701418631147,0.81030756,1,0.003897895,-15.746627238376869,109231.22337794304,0.001,-4.120179,23.30833548564019,3.070095,0.96,0.0,16.73066535239034,-3.6749532,152175,152175,2.95173
0.21151775,2546998,0.07273,-26.29,0.6438307,-5.4335823,0.12627956,4.7071443,0.0008139952892246219,0.814583,1,0.0038788754,-15.748641706030366,109277.91996884346,0.001,-4.021592,23.307526357805692,3.029538,0.97,0.0,16.73268380493125,-3.5635777,152213,152213,2.9239874
0.18832296,2547998,0.01469,-29.23,0.6437989,-5.434357,0.14371532,4.634159,0.0008155711451397218,0.8173818,1,0.0038991629,-15.752197159785078,109324.53181481361,0.001,-4.0944705,23.306735987821014,3.0432794,0.97,0.0,16.736235729956253,-3.660462,152242,152242,2.9340963
0.21368149,2548998,0.07628,-29.36,0.6437892,-5.435152,0.12466381,4.70345,0.0013150404410790626,0.8145865,1,0.0038882997,-15.755434282937337,109370.33890676498,0.001,-4.0509534,23.30611777817518,3.023289,0.96,0.0,16.739456506035175,-3.5671961,152274,152274,2.8835177
0.22364193,2549998,0.0069,-28.19,0.6437938,-5.434984,0.09580591,4.6580677,0.0015518327297039758,0.8226144,1,0.0038817006,-15.75724968322643,109416.88042330742,0.001,-4.0919356,23.30534365570171,3.035317,0.95,0.0,16.74126985169088,-3.666916,152317,152317,2.918125
0.20399748,2550998,0.01831,-24.51,0.6437758,-5.435811,0.13239555,4.804515,0.0015772869654691135,0.81088275,1,0.0038769515,-15.759971907346754,109463.27688026428,0.001,-3.9868326,23.304601074480832,3.091679,0.96,0.0,16.743982724330994,-3.528678,152353,152353,2.9694748
0.17165774,2551998,0.00647,-25.59,0.64375997,-5.435715,0.13322745,4.693184,0.0015742537362774384,0.8091011,1,0.003875749,-15.761849142032219,109508.76491498947,0.001,-4.049741,23.304052438004298,2.9984198,0.96,0.0,16.745857803733717,-3.611573,152395,152395,2.8766282
0.20603327,2552998,0.00162,-28.24,0.6437182,-5.436034,0.123011075,4.7375636,0.0020834031896469055,0.81147665,1,0.003873121,-15.765542579713948,109554.65448141098,0.001,-3.9869008,23.30341884682944,3.051112,0.94,0.0,16.749534181865897,-3.5284634,152420,152420,2.9109662
0.2665564,2553998,0.00079,-30.3,0.64369106,-5.436405,0.12834127,4.745148,0.0015509959730719862,0.81559503,1,0.0038665547,-15.769045588717612,109600.47439932823,0.001,-3.9600687,23.30280059458989,3.007886,0.95,0.0,16.753033781567726,-3.526547,152450,152450,2.8776102
0.2183648,2554998,0.04311,-31.93,0.64365685,-5.4365387,0.13682373,4.7382994,0.0015848389366753216,0.81301385,1,0.0038618958,-15.771572472226959,109646.4447362423,0.001,-4.013365,23.30215089186085,3.0780811,0.95,0.0,16.755557887281455,-3.5421505,152486,152486,2.9401906
0.20446712,2555998,0.00149,-34.11,0.6436517,-5.4372168,0.14084311,4.764381,0.001411361092445451,0.8034854,1,0.0038791145,-15.775380136514743,109693.02184605598,0.001,-3.9756274,23.301372840171247,3.0139287,0.93,0.0,16.759348506009403,-3.5258307,152511,152511,2.8644664
0.21755604,2556998,0.04696,-33.65,0.6436364,-5.437915,0.11780367,4.729881,0.0018362922256274195,0.81108654,1,0.003894294,-15.779498341353403,109740.28649330139,0.001,-3.9664497,23.300449467626283,3.0195117,0.92,0.0,16.76344946044816,-3.5205183,152534,152534,2.8971875
0.24421404,2557998,0.00115,-32.88,0.6436094,-5.4378242,0.13882041,4.7294693,0.0017586575616086203,0.80826664,1,0.0038950546,-15.781856078233455,109787.0139849186,0.001,-3.9403148,23.2996408878685,3.0580409,0.93,0.0,16.765804324600673,-3.5030684,152569,152569,2.9207935
0.22897464,2558998,0.2597,-31.69,0.6435888,-5.438128,0.13219847,4.7722793,0.0019668554557631854,0.8097306,1,0.0039023866,-15.785153536650895,109832.93906974792,0.001,-3.9863214,23.299003210457137,3.0178561,0.92,0.0,16.769085595208452,-3.533482,152602,152602,2.869084
0.19341467,2559998,0.0533,-26.05,0.64356816,-5.4386644,0.13837929,4.784437,0.0016212116395281954,0.8151923,1,0.0039029422,-15.787232788045152,109878.62127709389,0.001,-3.9623773,23.298417565179953,3.030534,0.95,0.0,16.77115584934585,-3.523436,152641,152641,2.8953931
0.21391258,2560998,0.06312,-26.38,0.6435415,-5.438771,0.14402747,4.730188,0.0014713548507875325,0.8117037,1,0.003908287,-15.790143834001414,109925.09276676178,0.001,-3.907438,23.297665123957692,3.0539641,0.95,0.0,16.774064031019936,-3.4727125,152676,152676,2.9055552
0.21037918,2561998,0.03641,-23.68,0.6435288,-5.4391446,0.13904081,4.742663,0.0011340946898736992,0.8126105,1,0.003907796,-15.792606901971057,109971.20310235023,0.001,-3.8816972,23.296989827560107,3.0096674,0.99,0.0,16.776530679064894,-3.4464898,152710,152710,2.8835251
0.19985129,2562998,0.00592,-28.95,0.64351326,-5.4402933,0.12801017,4.829561,0.004654218629313113,0.82121056,1,0.003917483,-15.796002278426315,110017.47927880287,0.001,-3.8378658,23.29627998024687,3.0369055,0.95,0.0,16.779902708577488,-3.3729568,152737,152737,2.9115655
0.23458704,2563998,0.03013,-29.79,0.64348257,-5.4402976,0.14589792,4.765263,0.0043528312695264235,0.8141737,1,0.0039124805,-15.79916608301205,110063.72845292091,0.001,-3.8550777,23.295576445029614,3.0316474,0.94,0.0,16.78305721560747,-3.410049,152773,152773,2.8846505
0.19575574,2564998,0.00273,-29.37,0.6434628,-5.4407277,0.14248218,4.755626,0.004649153639685602,0.80964375,1,0.00390842,-15.801095499551723,110110.3299767971,0.001,-3.8284824,23.294798957922538,3.0104966,0.92,0.0,16.78497712801115,-3.3902678,152807,152807,2.8749878
0.21794988,2565998,0.00525,-30.37,0.6434442,-5.4418564,0.15228282,4.7985373,0.001881446830623225,0.8061156,1,0.003898896,-15.805598267389897,110157.17238211632,0.001,-3.822402,23.29397119144447,3.055322,0.92,0.0,16.789456465553904,-3.3690994,152833,152833,2.8826065
0.18749687,2566998,0.0119,-29.88,0.6434266,-5.442274,0.14571749,4.826093,0.002155727919992873,0.8038449,1,0.0038846387,-15.808137899453767,110203.45569825172,0.001,-3.8213122,23.293262300491755,3.1064525,0.93,0.0,16.791992934942595,-3.3885844,152865,152865,2.9722369
0.21918169,2567998,0.01174,-30.3,0.6434203,-5.4425254,0.12502272,4.7096534,0.0031847068111432388,0.80786264,1,0.0038837309,-15.81057767139503,110250.60772681236,0.001,-3.8513584,23.292370472579957,3.0229652,0.93,0.0,16.794424061684552,-3.3973742,152907,152907,2.8870292
0.27055198,2568998,0.04904,-26.03,0.64341664,-5.4427094,0.16516353,4.760152,0.0023686534897673635,0.80275476,1,0.003883873,-15.813170214991892,110296.9848792553,0.001,-3.8625112,23.29164303822396,3.042348,0.97,0.0,16.797013129675157,-3.4428272,152936,152936,2.8902092
0.21722522,2569998,0.20637,-26.57,0.643387,-5.44286,0.15605839,4.7051544,0.002856587203528872,0.81339234,1,0.0038823464,-15.817027090633335,110343.01115298271,0.001,-3.8578477,23.29099027791512,3.012672,0.96,0.0,16.800853773338215,-3.433732,152968,152968,2.8522296
0.2288899,2570998,0.04319,-29.95,0.64336616,-5.443215,0.16140677,4.7475324,0.0028988728748580066,0.8057568,1,0.003886062,-15.819538306688802,110390.2515103817,0.001,-3.8180811,23.29008191233453,3.0030274,0.95,0.0,16.803362047554934,-3.3856,153002,153002,2.8462512
0.21357174,2571998,0.15126,-28.81,0.64333797,-5.443442,0.14706711,4.8018923,0.0017345288658998962,0.8102888,1,0.0038761643,-15.822539647274843,110437.05667996407,0.001,-3.9690936,23.289266097098206,3.026362,0.97,0.0,16.806367087697748,-3.5254314,153037,153037,2.8715515
0.16862243,2572998,0.00232,-27.57,0.64331,-5.4432244,0.15357567,4.748666,0.0007571828165966693,0.8065592,1,0.003875608,-15.824925525243023,110483.47359633446,0.001,-3.9147296,23.28853281171063,3.0323584,0.99,0.0,16.808756663530886,-3.4580688,153072,153072,2.8839521
0.19740552,2573998,0.04018,-30.42,0.6433006,-5.4441195,0.13403808,4.8231926,0.0026257244423002753,0.8094394,1,0.003854965,-15.828790521166043,110530.1218354702,0.001,-3.9610791,23.287751404377616,3.0374954,0.98,0.0,16.81261144749476,-3.517617,153099,153099,2.8901048
0.18840754,2574998,0.06487,-29.6,0.6432753,-5.4444566,0.13448764,4.80389,0.00259635131056003,0.80681616,1,0.0038582734,-15.831376441547926,110576.49962902069,0.001,-3.8132014,23.287027611101866,2.965371,0.98,0.0,16.81520106573328,-3.397525,153134,153134,2.8301094
0.21723337,2575998,0.00501,-28.06,0.6432429,-5.4451365,0.1505744,4.763487,0.0034664539585935895,0.80358696,1,0.0038556994,-15.832913326195388,110622.1796875,0.001,-3.8594894,23.286451300064925,3.0494442,0.96,0.0,16.816728906066384,-3.3802722,153172,153172,2.8903997
0.19173975,2576998,0.00223,-26.51,0.64322627,-5.4452925,0.13014627,4.848396,0.00406179412669851,0.8039922,1,0.0038527097,-15.835866876399214,110668.12547707558,0.001,-3.902975,23.285819551843897,3.0044312,0.96,0.0,16.81967352213614,-3.4433408,153211,153211,2.8786376
0.19310367,2577998,0.01248,-27.73,0.6431888,-5.4459,0.13363631,4.866937,0.004910128013531649,0.80785626,1,0.003849655,-15.840016967403008,110713.98477053642,0.001,-3.9053931,23.28520651969222,3.0339725,0.95,0.0,16.82381309752994,-3.459084,153235,153235,2.8849745
0.17977707,2578998,0.00142,-30.13,0.64315957,-5.446103,0.14181294,4.818142,0.004133541621321121,0.80997163,1,0.0038507949,-15.84232194587259,110760.35448217392,0.001,-3.91687,23.28448669252924,2.98573,0.95,0.0,16.82611504032153,-3.4760408,153268,153268,2.8394358
0.16932255,2579998,0.0013,-33.05,0.6431234,-5.446987,0.14268337,4.8045607,0.004818970113339773,0.8146619,1,0.0038536636,-15.84597872104477,110806.45801091194,0.001,-3.7217326,23.283823400852036,3.0087109,0.93,0.0,16.8297553115847,-3.2770362,153297,153297,2.8685734
0.21728016,2580998,0.00904,-27.47,0.64309716,-5.447148,0.15020087,4.767666,0.0031542678789141902,0.8068207,1,0.0038547083,-15.848418842158122,110852.24327898026,0.001,-3.9533277,23.283227507669277,3.0090957,0.95,0.0,16.832186621624267,-3.4889584,153337,153337,2.8595762
0.21867639,2581998,0.22676,-29.99,0.64305514,-5.44726,0.12069306,4.8027225,0.003199971620958118,0.818275,1,0.0038459646,-15.851546606854102,110898.770018816,0.001,-3.8058667,23.282476438304204,2.9627168,0.94,0.0,16.835311147045015,-3.3499503,153368,153368,2.8453205
0.2234976,2582998,0.00568,-27.01,0.64303476,-5.4477596,0.15821438,4.8440456,0.0008639915425413847,0.81005776,1,0.0038555772,-15.854155394614185,110945.06731009483,0.001,-3.910153,23.281774148466123,3.029169,0.98,0.0,16.837923639042263,-3.4366863,153403,153403,2.8981638
0.24656951,2583998,0.03882,-32.74,0.64299065,-5.4486184,0.14905955,4.8842726,0.0008868557837114119,0.8158147,1,0.003878812,-15.858761186539,110990.8247153759,0.001,-3.896922,23.281185689235002,2.9274657,0.96,0.0,16.842511781307643,-3.466391,153421,153421,2.7986648
0.19835581,2584998,0.00205,-30.07,0.6429692,-5.448354,0.14119355,4.809781,0.000854875202589787,0.81141424,1,0.0038733068,-15.860888830965724,111037.49977087975,0.001,-3.9215372,23.280405316528313,2.9434562,0.97,0.0,16.844643555323863,-3.4649076,153460,153460,2.8115585
0.2451994,2585998,0.00347,-29.41,0.6429392,-5.4484067,0.13772532,4.813864,0.0009257910992148763,0.81203157,1,0.0038569565,-15.863429665919632,111084.6565322876,0.001,-3.8791919,23.279524650178487,2.9484758,0.96,0.0,16.847181685516237,-3.4587054,153496,153496,2.820788
0.18208349,2586998,0.00446,-28.68,0.6429078,-5.44872,0.16128853,4.8542128,0.0008591356845195934,0.80621415,1,0.0038640115,-15.8670818053321,111131.51396799088,0.001,-3.877384,23.278707430775494,2.985152,0.98,0.0,16.8508301687695,-3.4621024,153523,153523,2.842193
0.22532481,2587998,0.00793,-28.72,0.64288574,-5.448807,0.14503814,4.7689815,0.0008764993732519228,0.81094223,1,0.0038530452,-15.869302752652041,111178.1004254818,0.001,-3.846964,23.27794763623103,2.9611588,0.98,0.0,16.853055137697723,-3.424039,153561,153561,2.8249612
0.20620482,2588998,0.00373,-28.87,0.6428524,-5.4488864,0.15690376,4.7967257,0.000866728114913647,0.80970305,1,0.0038538033,-15.871915569618604,111224.42283916473,0.001,-3.8763986,23.277243737589917,2.9541037,0.98,0.0,16.855664934828184,-3.4089117,153594,153594,2.809095
0.214092,2589998,0.1083,-28.77,0.64281404,-5.4490237,0.16738133,4.8462205,0.0009280341262925377,0.80875415,1,0.0038572375,-15.875480885023727,111270.61924791336,0.001,-3.8503041,23.276566783810452,2.9613879,0.97,0.0,16.859220299043763,-3.416975,153623,153623,2.8319154
0.21802458,2590998,0.01306,-35.31,0.64277786,-5.449801,0.15064804,4.8295255,0.0017155691076865152,0.80983895,1,0.0038640585,-15.88019473968537,111317.08252310753,0.001,-3.828606,23.275834591354414,2.9243314,0.94,0.0,16.86391653269635,-3.394404,153641,153641,2.81995
0.20647602,2591998,0.02592,-36.58,0.6427583,-5.4502573,0.16859101,4.827098,0.002641632846308992,0.8090334,1,0.0038720502,-15.88339949241882,111363.78817749023,0.001,-3.7782114,23.275052352465824,2.96978,0.92,0.0,16.86711134248715,-3.3418188,153670,153670,2.8572106
0.23992744,2592998,0.08888,-37.92,0.64273804,-5.4505067,0.15897489,4.795176,0.002981294572400949,0.8115508,1,0.0038800242,-15.887004951300286,111411.72348809242,0.001,-3.855255,23.274013890262967,3.0127773,0.93,0.0,16.870713156405134,-3.4053607,153697,153697,2.895598
0.2478628,2593998,0.00687,-28.32,0.64271975,-5.4504404,0.14898814,4.860759,0.002130472704074481,0.81493324,1,0.0038805727,-15.888286143579137,111457.9374628067,0.001,-3.8002286,23.273335744846456,2.9658186,0.97,0.0,16.87199901132424,-3.3199487,153741,153741,2.8542924
0.19759214,2594998,0.00676,-26.48,0.6426874,-5.450767,0.14434597,4.8325996,0.001565683294437352,0.81556493,1,0.0038991675,-15.891141775806682,111505.26361608505,0.001,-3.8084302,23.272426034833945,2.93794,0.96,0.0,16.87483905370079,-3.339507,153778,153778,2.8334403
0.21008384,2595998,0.02926,-27.04,0.6426493,-5.450876,0.14580485,4.8893976,0.0018604767338208897,0.81462455,1,0.0039050751,-15.894522970495299,111552.11508202553,0.001,-3.8207657,23.271616123917806,2.9090385,0.95,0.0,16.878210212865557,-3.3911138,153806,153806,2.779781
0.20857725,2596998,0.00421,-30.76,0.64261293,-5.451414,0.17437224,4.7335324,0.002479774436435669,0.8134015,1,0.003908935,-15.8980062795369,111598.83133482933,0.001,-3.823164,23.270835087943187,2.9272354,0.94,0.0,16.881689884485123,-3.400713,153833,153833,2.7717192
