rollout/error,errors,rollout/return,reference_action_mean,rollout/episodes,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,rollout/actions_mean,rollout/Q_mean,total/steps,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,reference_Q_std,success rate,rollout/goal_tolerance,rollout/actions_std,total/duration,total/episodes,reference_actor_Q_std,rollout/episode_steps,total/epochs
0.03502,0.022140500232341355,-63.306049822064054,-0.2043227,281,-27.86,0.22023383,0.83923763,-1.2924461,-0.038070295,-2.4335537,17998,1.992455,-1.6856375,30.72248658168728,0.0,2.7020524,0.9,0.01929,0.64742815,585.8249771595001,281,2.6239374,63.97508896797153,1
0.07834,0.017758609925946838,-57.387692307692305,-0.20860678,325,-20.36,0.22791168,0.8428148,-1.2678363,-0.035223443,-2.4896376,18998,1.9914211,-1.6723377,30.54395825174122,0.0,2.7918262,0.94,0.01926,0.6521613,621.9888019561768,325,2.7045164,58.09230769230769,1
0.05492,0.01890615101385072,-52.8739946380697,-0.19108236,373,-20.33,0.21255969,0.85505843,-1.2766298,-0.0314879,-2.5439274,19998,1.9856329,-1.6708945,30.376193384987467,0.0,2.870946,0.94,0.01922,0.6570653,658.34450507164,373,2.7665312,53.60857908847185,1
0.05809,0.014717260461231358,-46.710407239819006,-0.13450533,442,-14.34,0.21149695,0.86664146,-1.224114,-0.028821385,-2.5730834,20998,1.9748303,-1.6377755,30.211781647584573,0.0,2.9160016,0.98,0.01918,0.6615043,695.0268688201904,442,2.8172014,47.484162895927604,1
0.17506,0.014333360304603592,-42.49212598425197,-0.23734434,508,-13.34,0.2252337,0.8599347,-1.1946726,-0.02976142,-2.622334,21998,1.924931,-1.6016306,30.033190520126468,0.0,2.9516792,0.99,0.01914,0.66650337,732.4563131332397,508,2.8684876,43.29330708661417,1
0.03745,0.014341740885246151,-38.406143344709896,-0.22697549,586,-12.97,0.20966351,0.8621187,-1.2029873,-0.031057915,-2.6593556,22998,1.9317842,-1.6139423,29.874703891497543,0.0,3.0608685,0.99,0.0191,0.67195237,769.8151614665985,586,2.9884396,39.23378839590443,1
0.09831,0.014414497084042726,-36.24111282843895,-0.21813464,647,-12.64,0.20913154,0.8664775,-1.0813451,-0.031260908,-2.6805527,23998,1.9046134,-1.5025187,29.72965712653433,0.0,3.0817926,0.98,0.01906,0.67556447,807.2074258327484,647,3.019264,37.08191653786708,1
0.02854,0.014394975954896963,-34.625,-0.22269905,704,-15.26,0.21418406,0.86507386,-1.0800843,-0.03262012,-2.711167,24998,1.8573685,-1.5297838,29.55009262634273,0.0,3.1546266,0.98,0.01903,0.67978406,845.9533550739288,704,3.1190608,35.47727272727273,1
0.05215,0.014257998159967122,-31.211111111111112,-0.20963083,810,-8.38,0.21677662,0.87095064,-1.0211967,-0.031921435,-2.7216542,25998,1.8132433,-1.4699379,29.378033982903293,0.0,3.2075207,1.0,0.01899,0.68395716,884.9468965530396,810,3.1769724,32.08271604938272,1
0.05643,0.013637361730040865,-29.11111111111111,-0.21830387,900,-9.72,0.20163557,0.87131804,-0.9998766,-0.028235419,-2.7474968,26998,1.8318372,-1.4373088,29.230578445528145,0.0,3.27863,1.0,0.01895,0.6884915,923.6218178272247,900,3.2670996,29.995555555555555,1
0.03394,0.013232168880118958,-27.614052953156822,-0.16464247,982,-11.39,0.19202593,0.8797819,-0.9488901,-0.028892819,-2.7703502,27998,1.7960817,-1.4080231,29.071657196421473,0.0,3.3439384,1.0,0.01891,0.69258565,963.0685932636261,982,3.330706,28.508146639511203,1
0.05966,0.013173844620704322,-26.14832089552239,-0.1480531,1072,-10.42,0.20336771,0.8812505,-0.9289774,-0.028755961,-2.7848268,28998,1.8007419,-1.3701406,28.905973709956477,0.0,3.444861,1.0,0.01887,0.6958398,1003.1836426258087,1072,3.423155,27.051305970149254,1
0.01626,0.014272996262747422,-24.686006825938566,-0.1545818,1172,-9.01,0.1859553,0.8731485,-0.8862054,-0.028990868,-2.8080113,29998,1.770143,-1.339458,28.7481683395634,0.0,3.523725,1.0,0.01884,0.69954413,1043.4751753807068,1172,3.4976583,25.59726962457338,1
0.03653,0.013269753781952076,-23.6159936658749,-0.09638485,1263,-9.9,0.19625868,0.879561,-0.8893302,-0.029869404,-2.817568,30998,1.7806011,-1.3413842,28.62531409643822,0.0,3.5602415,1.0,0.0188,0.70249593,1082.8876810073853,1263,3.5321178,24.53365003958828,1
0.11158,0.012994455393803048,-23.110443275732532,-0.036727548,1331,-12.73,0.18489712,0.89646566,-0.88369226,-0.027801557,-2.8625185,31998,1.7349942,-1.3318231,28.48823898486592,0.0,3.647045,0.99,0.01876,0.70571315,1123.2003500461578,1331,3.6218967,24.031555221637866,1
0.05566,0.01347440624320803,-22.196916608269095,-0.09290173,1427,-10.07,0.19003616,0.8940878,-0.7994578,-0.027224869,-2.8771899,32998,1.7046815,-1.2560451,28.378942393370302,0.0,3.6847436,1.0,0.01872,0.7085278,1162.7635569572449,1427,3.6376526,23.12333566923616,1
0.10275,0.01296336818634268,-21.116731517509727,-0.045428753,1542,-8.18,0.17388754,0.896146,-0.8255232,-0.025066258,-2.8839974,33998,1.6764623,-1.2873802,28.27220893939304,0.0,3.7662265,1.0,0.01869,0.7114175,1202.5236539840698,1542,3.7070267,22.04863813229572,1
0.16569,0.012959286141982836,-20.272727272727273,-0.13895029,1650,-8.17,0.17967485,0.89547443,-0.7193128,-0.024318626,-2.8899465,34998,1.6924508,-1.1797702,28.174967880832504,0.0,3.8349493,1.0,0.01865,0.71393234,1242.1664559841156,1650,3.7858634,21.20909090909091,1
0.15731,0.012814141454173368,-19.672966781214203,-0.07447811,1746,-9.22,0.19057637,0.8898207,-0.7923857,-0.023916299,-2.8960073,35998,1.6242565,-1.2243788,28.08552459109513,0.0,3.8764467,1.0,0.01861,0.7167829,1281.7278838157654,1746,3.8013353,20.61282932416953,1
0.0637,0.013092171009243434,-19.142779587404995,-0.16161235,1842,-10.91,0.16530044,0.88763046,-0.8104756,-0.021974942,-2.9121614,36998,1.6114291,-1.236208,28.00031724302835,0.0,3.8888516,1.0,0.01858,0.71901846,1321.342171907425,1842,3.8200026,20.085776330076005,1
0.04393,0.013312312113855456,-18.671140939597315,-0.15835626,1937,-9.36,0.17733166,0.8979879,-0.7519232,-0.022430811,-2.9294324,37998,1.6037965,-1.1811357,27.922789251830014,0.0,3.9907448,1.0,0.01854,0.7208474,1360.8239369392395,1937,3.9154608,19.6169334021683,1
0.03329,0.012920709891209843,-18.173124080431585,-0.18422693,2039,-8.8,0.16179176,0.88788575,-0.7466012,-0.019839764,-2.9470997,38998,1.5846295,-1.1639528,27.850685257419386,0.0,4.013447,1.0,0.0185,0.7228613,1400.2527995109558,2039,3.9354453,19.121628249141736,1
0.117,0.012308715517221604,-17.741467975689574,-0.12297555,2139,-8.94,0.17204115,0.90162516,-0.7252945,-0.019492418,-2.9499493,39998,1.609933,-1.125739,27.75706995092764,0.0,4.061675,1.0,0.01846,0.724508,1441.002240896225,2139,3.9714437,18.69237961664329,1
0.10447,0.013425822770514977,-17.36058981233244,-0.18987806,2238,-9.19,0.15763468,0.895937,-0.6985134,-0.018648488,-2.9604466,40998,1.5383345,-1.132601,27.707868507850968,0.0,4.1346574,1.0,0.01843,0.72651845,1479.6518898010254,2238,4.0410547,18.31367292225201,1
0.06004,0.012738599669155208,-16.901360544217688,-0.18362696,2352,-7.69,0.1452936,0.8937923,-0.6946193,-0.018007554,-2.9674582,41998,1.4939097,-1.1120954,27.645840772796213,0.0,4.146764,1.0,0.01839,0.7284411,1519.1435248851776,2352,4.0590925,17.85671768707483,1
0.17032,0.013502543624303453,-16.550488599348533,-0.21543598,2456,-8.45,0.16919556,0.88525724,-0.74994373,-0.019013602,-2.9745097,42998,1.497829,-1.1566429,27.584527365107206,0.0,4.1462574,1.0,0.01835,0.7301835,1558.7724027633667,2456,4.046239,17.507736156351793,1
0.07386,0.013150206819019357,-16.418641390205373,-0.1849433,2532,-11.07,0.15804632,0.883043,-0.71123135,-0.019455167,-2.9852037,43998,1.5031357,-1.1164387,27.51504223528259,0.0,4.1756663,0.99,0.01832,0.7319307,1599.052606344223,2532,4.0786166,17.376777251184834,1
0.01242,0.01283354554968132,-16.01471142964919,-0.18813927,2651,-7.56,0.15277395,0.8869133,-0.7237241,-0.019079076,-2.9908218,44998,1.4263808,-1.1309273,27.451917124970336,0.0,4.1863236,1.0,0.01828,0.73358905,1639.1569228172302,2651,4.0898576,16.974726518294982,1
0.16856,0.011862723698827595,-15.751453488372093,-0.11700028,2752,-8.91,0.15772495,0.89401776,-0.73192203,-0.017987894,-2.9976103,45998,1.4338963,-1.1328399,27.39339988953631,0.0,4.2404685,1.0,0.01824,0.7349458,1679.1636009216309,2752,4.123111,16.71293604651163,1
0.01756,0.012803514162351193,-15.453370590289905,-0.19178905,2863,-7.7,0.14391227,0.88048255,-0.78306377,-0.016526805,-3.0019622,46998,1.3467232,-1.1720355,27.32872215502336,0.0,4.2416906,1.0,0.01821,0.7363326,1719.729145526886,2863,4.1371946,16.416346489696124,1
