rollout/goal_tolerance,rollout/return_history,rollout/error,total/steps,reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return,rollout/actions_std,reference_Q_mean,reference_action_std,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,total/duration,train/loss_actor,success rate,train/loss_critic,errors,train/param_noise_distance,rollout/episodes,reference_action_mean,reference_actor_Q_mean
0.01929,-15.18,0.07486,17998,2.2469034,39.08913043478261,1,-38.27391304347826,0.67172116,-1.8097811,0.84234697,460,2.3777838,-0.10242972,31.52200986842136,-2.7307029,570.9661304950714,2.3388402,0.97,0.14844353,0.01803803640633997,0.0,460,-0.21676366,-1.3945866
0.01926,-11.08,0.00817,18998,2.30946,35.055350553505534,1,-34.2140221402214,0.67857283,-1.7842244,0.83868223,542,2.438385,-0.0952424,31.191953055278443,-2.8175995,609.0673439502716,2.313832,0.99,0.14425711,0.015220807915559513,0.0,542,-0.21636128,-1.3796377
0.01922,-9.35,0.15757,19998,2.3688304,31.346394984326018,1,-30.482758620689655,0.68420744,-1.7505695,0.83753467,638,2.495776,-0.09120735,30.906654512544502,-2.882373,647.045120716095,2.2996206,0.99,0.13043493,0.0151590328373234,0.0,638,-0.18663226,-1.3282483
0.01918,-10.41,0.10986,20998,2.417601,29.08448753462604,1,-28.206371191135734,0.6891151,-1.7856555,0.8303419,722,2.5536315,-0.08757253,30.624634022312584,-2.951402,685.6571733951569,2.2460396,0.99,0.13814612,0.015477240141015435,0.0,722,-0.21082856,-1.366682
0.01914,-9.23,0.04124,21998,2.431131,26.889975550122248,1,-25.998777506112468,0.69284225,-1.7632165,0.8418684,818,2.567625,-0.08965119,30.349853700420386,-3.0029318,724.8140375614166,2.2302728,0.99,0.1422803,0.015377558653157559,0.0,818,-0.14000128,-1.3320348
0.0191,-8.99,0.16908,22998,2.5059779,25.074154852780808,1,-24.171210468920393,0.69685066,-1.6606759,0.8430068,917,2.6394234,-0.08519081,30.118329227017604,-3.0494578,763.5881733894348,2.2178564,1.0,0.15585226,0.01362449685008834,0.0,917,-0.12237444,-1.217413
0.01906,-7.61,0.01329,23998,2.5472903,23.23330106485963,1,-22.31945788964182,0.70062846,-1.625987,0.849928,1033,2.6849182,-0.08182522,29.90122990153214,-3.0786686,802.5756826400757,2.1889048,1.0,0.16570368,0.013409369330035718,0.0,1033,-0.12955232,-1.18401
0.01903,-8.46,0.02885,24998,2.5911727,21.954305799648505,1,-21.032513181019333,0.7042737,-1.629667,0.8447126,1138,2.7198799,-0.07899221,29.66834810688634,-3.1108124,842.5814578533173,2.1403425,1.0,0.13164161,0.013235214891365114,0.0,1138,-0.12548715,-1.1998165
0.01899,-9.84,0.07186,25998,2.6291037,21.099837662337663,1,-20.17207792207792,0.70693606,-1.5823717,0.8602774,1232,2.7456353,-0.07548624,29.448445092044736,-3.1397474,882.8309922218323,2.080806,1.0,0.14832085,0.01353469039648831,0.0,1232,-0.04528449,-1.1619158
0.01895,-7.99,0.03561,26998,2.684853,20.09530900967982,1,-19.161578555472822,0.70964086,-1.535136,0.846884,1343,2.8127604,-0.074963726,29.205551314049288,-3.1579924,924.4132976531982,2.0612059,1.0,0.15313053,0.012998004543509927,0.0,1343,-0.10679623,-1.0762842
