success rate,train/loss_actor,rollout/actions_std,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/return_history,errors,reference_action_std,rollout/actions_mean,reference_Q_mean,total/steps,reference_actor_Q_mean,rollout/return,rollout/episodes,reference_action_mean,rollout/Q_mean,reference_actor_Q_std,rollout/error,reference_Q_std,rollout/goal_tolerance,rollout/episode_steps,total/duration,train/loss_critic,total/epochs
0.92,4.883892,0.67369103,0.0,80809,30.382620160054095,-37.7,0.0032432862899230515,0.8008448,0.0038032543,-4.4535866,1202998,-3.8064861,-13.894529074731775,80809,0.013223648,-4.567287,3.788003,0.00549,3.6986384,0.001,14.885879048125828,39594.93926668167,0.19022055,1
0.92,3.9833846,0.6735907,0.0,80839,30.38406920352425,-38.51,0.0016588664618588267,0.79761404,0.003811682,-4.515934,1203998,-3.861909,-13.902349113670383,80839,0.01686114,-4.5680676,3.749302,0.17994,3.668265,0.001,14.893677556624896,39625.96293258667,0.16172926,1
0.95,4.3969893,0.6734824,0.0,80864,30.385157806667703,-34.94,0.001551890884131003,0.81035966,0.0038260017,-4.4130535,1204998,-3.7727575,-13.908834586466165,80864,-0.04157427,-4.5693555,3.7503712,0.00417,3.66058,0.001,14.90015334388603,39657.45406579971,0.17952326,1
0.94,3.8451285,0.6733845,0.0,80887,30.38625626109504,-36.87,0.0010320611097836866,0.81225437,0.0038135021,-4.477498,1205998,-3.8562522,-13.91826869583493,80887,-0.01022921,-4.569507,3.7637455,0.00764,3.6840515,0.001,14.909552832964506,39688.93007540703,0.15433168,1
0.96,3.2765057,0.6732871,0.0,80926,30.387517612376747,-32.69,0.0008416636587518214,0.8026663,0.0038129278,-4.4757657,1206998,-3.8386135,-13.923485653560043,80926,-0.04003061,-4.5698805,3.760092,0.06033,3.6952164,0.001,14.914773991053556,39720.19088220596,0.1586792,1
0.96,3.6771982,0.6732079,0.0,80960,30.3884893537123,-32.29,0.000894578197915996,0.79516476,0.0038336425,-4.54535,1207998,-3.9230638,-13.92939723320158,80960,-0.05576152,-4.5709405,3.7995987,0.02741,3.7373714,0.001,14.920676877470356,39751.82793521881,0.18276909,1
0.99,4.364844,0.67312413,0.0,80988,30.389283247411484,-27.26,0.0007913076637243389,0.8057612,0.0038519236,-4.5204163,1208998,-3.9166203,-13.935163234059367,80988,-0.046239436,-4.572277,3.8084352,0.00219,3.7311616,0.001,14.926445893218748,39783.69579029083,0.21620296,1
0.97,3.7899923,0.67302495,0.0,81015,30.390699615024968,-31.26,0.0014812367615637185,0.7990695,0.003848433,-4.5494184,1209998,-3.9349236,-13.94356600629513,81015,-0.060139,-4.573089,3.7693508,0.00217,3.7053792,0.001,14.934826883910388,39814.74646282196,0.16513382,1
0.98,3.2757235,0.67293656,0.0,81043,30.391258969819848,-33.6,0.001438148879951326,0.8121818,0.003850521,-4.4978504,1210998,-3.8576846,-13.951260441987587,81043,-0.074353434,-4.5735803,3.745757,0.02264,3.6950755,0.001,14.942524338931184,39846.917865514755,0.14289384,1
0.97,3.2407346,0.6728207,0.0,81068,30.392269116792885,-36.98,0.0016456986737144214,0.81187487,0.003877727,-4.5132213,1211998,-3.8860786,-13.958244930182069,81068,-0.05662154,-4.573913,3.7618258,0.00834,3.704478,0.001,14.949499185868653,39878.49657893181,0.15638013,1
0.98,4.1705155,0.6727376,0.0,81101,30.3932481452976,-33.58,0.003076883744676866,0.8101745,0.0038824158,-4.4753666,1212998,-3.83332,-13.964735330020591,81101,-0.06599191,-4.5756,3.7370648,0.00335,3.6838038,0.001,14.955980814046683,39910.114055633545,0.19454119,1
