rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01929,32.537671357832586,1,-74.74058577405857,0.16039823,-0.20008683,239,0.029616878941464506,0.7754714,2.255737,-2.3573546,-43.51,-1.1514251,1.6852533,0.8,0.70931315,17998,0.01183,-1.697798,0.0,239,-0.0069979415,2.2925951,553.1434564590454,75.31380753138075
0.01926,32.41577913259271,1,-69.74814814814815,0.16177069,-0.19011396,270,0.02730453873450782,0.7851334,2.3635523,-2.4433122,-38.54,-1.1103526,1.6659448,0.83,0.7132753,18998,0.13836,-1.6715994,0.0,270,-0.0050025205,2.3962564,586.0726013183594,70.35555555555555
0.01922,32.27472355619064,1,-68.08996539792388,0.16019788,-0.25878882,289,0.030456987317658953,0.7758136,2.46611,-2.5314975,-41.95,-1.0325677,1.7044568,0.81,0.71716857,19998,0.16098,-1.6047647,0.0,289,0.0032150075,2.5002985,619.6180105209351,68.70934256055364
0.01918,32.134823352887004,1,-66.86451612903225,0.15518111,-0.22458918,310,0.03264365166753676,0.78836966,2.5407844,-2.6431217,-43.93,-1.0337701,1.7594254,0.8,0.7203438,20998,0.12311,-1.617857,0.0,310,0.009704486,2.5822365,653.4344305992126,67.49354838709678
0.01914,31.96344016768202,1,-63.59530791788856,0.17861502,-0.22711103,341,0.031245750179881186,0.7945613,2.6331558,-2.7264442,-36.72,-1.0617366,1.745983,0.83,0.7233601,21998,0.08129,-1.626673,0.0,341,0.013716001,2.6559687,688.2237920761108,64.2434017595308
0.0191,31.817780034095584,1,-58.718346253229974,0.17755862,-0.23803014,387,0.025551537118087143,0.78413075,2.7352126,-2.8095186,-30.48,-1.0597386,1.7340541,0.86,0.72617996,22998,0.12209,-1.6370194,0.0,387,0.015178288,2.7448516,722.8034129142761,59.39793281653747
0.01906,31.70199127440714,1,-55.60798122065728,0.18381107,-0.23288079,426,0.02440103133798448,0.7826585,2.7761064,-2.888763,-25.39,-1.0126758,1.8050729,0.89,0.72905374,23998,0.12991,-1.5894824,0.0,426,0.018923478,2.7952182,756.9871492385864,56.3075117370892
0.01903,31.561255379268133,1,-55.09843400447427,0.18292513,-0.16732073,447,0.026371551623010685,0.7895543,2.8757677,-2.9935462,-27.72,-1.0085782,1.8439116,0.88,0.7317309,24998,0.23193,-1.5947278,0.0,447,0.01976095,2.8903534,792.0470747947693,55.80089485458613
0.01899,31.43649237455658,1,-52.775720164609055,0.16325027,-0.21062517,486,0.02893745281488399,0.78952533,2.8910444,-3.058969,-29.27,-0.96060884,1.8615353,0.87,0.7339619,25998,0.07881,-1.5442352,0.0,486,0.018265279,2.920644,827.0006618499756,53.49382716049383
0.01895,31.303566834049313,1,-51.962818003913895,0.18535875,-0.20992637,511,0.026152043815428797,0.79732215,2.9608774,-3.1061707,-31.82,-0.94127643,1.8735794,0.86,0.7343644,26998,0.08071,-1.528256,0.0,511,0.02022454,3.0083752,862.4576280117035,52.68688845401174
