reference_Q_mean,train/loss_actor,reference_action_mean,total/steps_per_second,rollout/error,reference_actor_Q_std,total/steps,rollout/actions_std,reference_action_std,total/episodes,reference_Q_std,rollout/return_history,rollout/episodes,rollout/return,rollout/episode_steps,total/duration,train/param_noise_distance,success rate,errors,rollout/actions_mean,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,total/epochs
-1.5737092,1.544644,-0.0061302683,27.719827861428808,0.02215,1.760304,17998,0.6984923,0.8443889,510,1.8245081,-12.01,510,-34.462745098039214,35.292156862745095,649.2825312614441,0.0,0.98,0.01570721535643503,-0.036488265,0.01929,-0.7155003,0.17510818,-2.2493427,1
-1.5428948,1.512486,-0.08021801,27.49750490058607,0.02515,1.7856637,18998,0.7011513,0.8367626,584,1.872693,-11.76,584,-31.460616438356166,32.31164383561644,690.8990495204926,0.0,0.99,0.014585533902178632,-0.030346222,0.01926,-0.6689069,0.18141554,-2.2967355,1
-1.4234817,1.5445496,-0.15771566,27.286698729493867,0.05572,1.8121088,19998,0.70567745,0.8435204,693,1.8978579,-8.34,693,-27.982683982683984,28.855699855699857,732.8845529556274,0.0,1.0,0.014432287681385526,-0.030049108,0.01922,-0.5499324,0.18531412,-2.336635,1
-1.2436371,1.5533171,-0.07781056,27.03766297284378,0.02216,1.8485941,20998,0.7097768,0.84424067,801,1.925428,-8.39,801,-25.32459425717853,26.214731585518102,776.6203765869141,0.0,1.0,0.013263975386153643,-0.023754433,0.01918,-0.36390924,0.17433049,-2.375606,1
-1.2318938,1.5849519,-0.09541539,26.83381434101591,0.0559,1.8507142,21998,0.7133544,0.86042404,925,1.9542147,-6.77,925,-22.865945945945946,23.77081081081081,819.7865469455719,0.0,1.0,0.014023270170176648,-0.021598779,0.01914,-0.35771385,0.17117923,-2.40188,1
-1.1076062,1.5643852,-0.15002306,26.664045827575436,0.0813,1.9091138,22998,0.7164029,0.85078144,1043,1.9902718,-5.92,1043,-21.12464046021093,22.039309683604987,862.5097687244415,0.0,1.0,0.013313791964973508,-0.019154215,0.0191,-0.2548454,0.17540854,-2.4346392,1
-1.101161,1.5775747,-0.1224659,26.53307525405824,0.04456,1.901226,23998,0.7197472,0.85084194,1153,1.9683784,-8.14,1153,-19.88985255854293,20.81266261925412,904.4560334682465,0.0,1.0,0.013181319750798394,-0.020578522,0.01906,-0.27599034,0.16981508,-2.4688354,1
-1.065503,1.5257807,-0.15712196,26.37410068303214,0.04724,1.9332731,24998,0.7224691,0.8520653,1252,1.9925215,-8.92,1252,-19.02955271565495,19.95846645367412,947.8237874507904,0.0,1.0,0.013769652299278113,-0.019462513,0.01903,-0.24616994,0.16143174,-2.5055635,1
-0.97378415,1.5889777,-0.12924135,26.237247165591445,0.04458,1.9465536,25998,0.72523314,0.8529523,1362,2.014215,-8.17,1362,-18.14684287812041,19.08149779735683,990.8813922405243,0.0,1.0,0.014019538910038282,-0.01785212,0.01899,-0.1458449,0.16368411,-2.5383344,1
-0.95306826,1.5498402,-0.086246915,26.083464147473197,0.02581,1.939322,26998,0.7281173,0.86248434,1485,2.0000527,-6.89,1485,-17.237037037037037,18.177104377104378,1035.0619015693665,0.0,1.0,0.014075470562207098,-0.019042911,0.01895,-0.12618843,0.15864493,-2.5608115,1
-0.91687346,1.5053957,-0.07977034,25.942666064401507,0.07895,1.9623249,27998,0.7303458,0.85691756,1597,2.0224104,-8.31,1597,-16.587351283656858,17.53162179085786,1079.2260105609894,0.0,1.0,0.012846102099871994,-0.01795703,0.01891,-0.10720876,0.15732433,-2.5839303,1
