total/steps_per_second,rollout/return_history,total/steps,rollout/episodes,rollout/error,reference_action_std,rollout/actions_std,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/return,total/duration,reference_Q_std,success rate,rollout/actions_mean,reference_actor_Q_std,errors,reference_action_mean,total/epochs,rollout/episode_steps,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/Q_mean
30.086427819358665,-26.54,17998,291,0.05733,0.86199844,0.6450771,0.01929,-2.3962593,0.1726616,-61.16151202749141,598.2099339962006,2.7339437,0.92,-0.05056118,2.7196026,0.0216420833779292,-0.21359836,1,61.83161512027491,-2.6903782,2.4305103,0.0,291,-2.544897
29.855044667793663,-11.96,18998,361,0.06632,0.85831606,0.6514213,0.01926,-2.348535,0.1704085,-51.86426592797784,636.3413691520691,2.826109,0.98,-0.044440344,2.813415,0.015036989170475806,-0.2204111,1,52.59279778393352,-2.651769,2.3655589,0.0,361,-2.6211452
29.647074862282384,-14.79,19998,416,0.03225,0.8744103,0.6582947,0.01922,-2.3694534,0.17871551,-47.29567307692308,674.5353493690491,2.9130168,0.98,-0.040660545,2.8792799,0.016154733073267088,-0.19459279,1,48.05769230769231,-2.6884358,2.3419204,0.0,416,-2.7001433
29.40116143173188,-14.01,20998,492,0.14688,0.86452025,0.66382384,0.01918,-2.4011793,0.18716249,-41.88414634146341,714.1894733905792,2.9864762,0.98,-0.041557554,2.9586523,0.016530563445720466,-0.18728115,1,42.67886178861789,-2.742384,2.2559159,0.0,492,-2.7479334
29.195655849480705,-9.46,21998,587,0.18992,0.86511093,0.6689446,0.01914,-2.3627481,0.17860031,-36.64906303236797,753.4682595729828,3.0904503,1.0,-0.037826788,3.0556233,0.014061718325127872,-0.20360045,1,37.477001703577514,-2.6962132,2.2016943,0.0,587,-2.7880614
28.983548267199133,-9.94,22998,676,0.16299,0.8583258,0.6740834,0.0191,-2.3680449,0.19024542,-33.164201183431956,793.4846274852753,3.136796,1.0,-0.037429903,3.0867028,0.013809414243845249,-0.221574,1,34.014792899408285,-2.7034626,2.190282,0.0,676,-2.8357215
28.79626564179228,-12.18,23998,743,0.0202,0.85894,0.67803925,0.01906,-2.3569088,0.18481237,-31.35127860026918,833.3719482421875,3.2228498,0.99,-0.033582475,3.160583,0.014089550014511159,-0.23427184,1,32.21399730820996,-2.721486,2.1659863,0.0,743,-2.8737411
28.637097409855812,-11.62,24998,823,0.12741,0.8575791,0.6825621,0.01903,-2.3444145,0.17304963,-29.492102065613608,872.9236640930176,3.2891524,0.99,-0.0352487,3.2385707,0.013866321841083877,-0.2413315,1,30.366950182260023,-2.7122965,2.1004274,0.0,823,-2.8908646
28.49158518557877,-12.25,25998,907,0.04491,0.85630596,0.68718183,0.01899,-2.331654,0.17265347,-27.772877618522603,912.4799420833588,3.3689468,0.98,-0.03156731,3.3254986,0.014116589325566005,-0.24905825,1,28.658213891951487,-2.7050786,2.0515156,0.0,907,-2.9372158
28.357864679314982,-8.93,26998,1008,0.12244,0.8754408,0.6916253,0.01895,-2.3426874,0.16838995,-25.886904761904763,952.046294927597,3.4361193,1.0,-0.03011572,3.37847,0.013740119362469987,-0.22088568,1,26.783730158730158,-2.7209797,2.0802832,0.0,1008,-2.9652078
28.215191061117597,-9.14,27998,1102,0.03381,0.8676959,0.6955927,0.01891,-2.3126986,0.15853325,-24.496370235934663,992.3023359775543,3.484049,1.0,-0.028309971,3.4324915,0.013331040879400749,-0.22638118,1,25.401996370235935,-2.6944768,1.989711,0.0,1102,-2.9936159
28.076095180431516,-9.6,28998,1195,0.06335,0.87042475,0.69934225,0.01887,-2.3069243,0.18729968,-23.353138075313808,1032.8359344005585,3.5357213,1.0,-0.02679392,3.4808192,0.0132946183657087,-0.25394982,1,24.26610878661088,-2.691349,1.9621053,0.0,1195,-3.0096803
27.958474162791823,-9.59,29998,1287,0.08433,0.8769224,0.7027226,0.01884,-2.2573175,0.16041468,-22.385392385392386,1072.948395729065,3.6101556,1.0,-0.024994282,3.550073,0.013602829574938524,-0.19534181,1,23.304584304584303,-2.6372674,1.8671143,0.0,1287,-3.0291617
27.81249827304359,-10.62,30998,1366,0.16554,0.86464864,0.7057522,0.0188,-2.302011,0.15401527,-21.76866764275256,1114.5349006652832,3.6500385,0.99,-0.02500538,3.601944,0.013797592987012074,-0.23375797,1,22.691800878477306,-2.6708174,1.8409861,0.0,1366,-3.0575972
27.71604099652643,-10.2,31998,1450,0.02278,0.8737071,0.7082426,0.01876,-2.2435927,0.1521249,-21.12896551724138,1154.4938905239105,3.7143567,0.99,-0.02334567,3.662034,0.013743966745356972,-0.21423335,1,22.055862068965517,-2.6201007,1.8363913,0.0,1450,-3.065549
27.617204198404764,-9.44,32998,1547,0.09603,0.87858564,0.71075255,0.01872,-2.2437944,0.16434331,-20.398190045248867,1194.8349211215973,3.7709248,1.0,-0.022415232,3.717395,0.012985313081616627,-0.20033772,1,21.32967032967033,-2.6304727,1.7741264,0.0,1547,-3.0781875
27.51876434810382,-7.7,33998,1659,0.07768,0.8757829,0.71349347,0.01869,-2.245634,0.15582512,-19.55153707052441,1235.447913646698,3.8134937,1.0,-0.017792573,3.7568,0.013231272289244646,-0.20357925,1,20.487643158529234,-2.617846,1.7291782,0.0,1659,-3.0879173
27.406654665464398,-9.5,34998,1756,0.1146,0.8820962,0.71626014,0.01865,-2.2377625,0.15283652,-18.99031890660592,1276.989126443863,3.8711946,1.0,-0.016646368,3.8047113,0.013318676470916191,-0.20722134,1,19.92995444191344,-2.6268253,1.6644396,0.0,1756,-3.1085396
27.32195138459014,-8.23,35998,1861,0.12909,0.88079065,0.7184395,0.01861,-2.2477694,0.13820168,-18.394411606663084,1317.548644065857,3.9153583,1.0,-0.015029689,3.8343418,0.013102061056336543,-0.17851281,1,19.3374529822676,-2.6356921,1.6279569,0.0,1861,-3.1111047
27.24464028529081,-8.15,36998,1970,0.07008,0.884106,0.7207299,0.01858,-2.2208147,0.1356242,-17.834010152284264,1357.991869688034,3.965672,1.0,-0.013396304,3.8897088,0.013179563022747278,-0.21206047,1,18.78020304568528,-2.6152072,1.6448047,0.0,1970,-3.108247
27.151538748672266,-8.25,37998,2079,0.12231,0.88029593,0.72287214,0.01854,-2.2179883,0.16056164,-17.32804232804233,1399.4786944389343,3.97211,1.0,-0.012498895,3.9096239,0.013051503008616879,-0.2205982,1,18.27705627705628,-2.6115623,1.5818031,0.0,2079,-3.1104457
27.067662753677336,-9.81,38998,2171,0.17265,0.8864131,0.72467023,0.0185,-2.2016172,0.1644961,-17.011054813450023,1440.7597861289978,4.0144515,1.0,-0.013027388,3.955337,0.012646808512171086,-0.18373601,1,17.96222938737909,-2.5840774,1.5676242,0.0,2171,-3.1222477
26.988365809510498,-10.19,39998,2259,0.09408,0.88147044,0.7267169,0.01846,-2.2441044,0.14703861,-16.75254537405932,1482.0460150241852,4.0911508,1.0,-0.012618357,4.0229583,0.012512506816971213,-0.23286141,1,17.70562195661797,-2.6312656,1.56387,0.0,2259,-3.1383467
