rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-8.94,-2.7868094,852,0.90316653,0.08969,1.0,17998,852,0.16191435,0.070875,-0.008353082,1.3114002,-1.9776078,21.10211267605634,-20.166666666666668,27.81711776203409,0.013247415986075232,1.7610812,0.6795177,-2.0486166,0.01929,647.0116765499115,0.0,1.9530109,1
-7.71,-2.718557,953,0.8995317,0.01587,1.0,18998,953,0.15734166,0.0672316,-0.0071239094,1.2571737,-1.9879895,19.937040923399792,-18.995802728226653,27.660095760644484,0.013915332021615115,1.866766,0.6850409,-1.9924029,0.01926,686.8378245830536,0.0,2.0689569,1
-7.89,-2.7419934,1065,0.90322834,0.0261,1.0,19998,1065,0.15285371,0.025229054,-0.005157776,1.2031963,-2.0191739,18.76713615023474,-17.819718309859155,27.506171878495625,0.013720596732074163,1.962352,0.69115776,-1.9902513,0.01922,727.0368297100067,0.0,2.1470926,1
-9.12,-2.6934524,1164,0.899309,0.1659,1.0,20998,1164,0.15078785,0.07918713,-0.005729501,1.2121698,-2.0467474,18.037800687285223,-17.085910652920962,27.372391844550574,0.013501425854188185,2.0522027,0.6964378,-1.954301,0.01918,767.1233160495758,0.0,2.2304566,1
-9.27,-2.6671638,1261,0.9002512,0.03139,1.0,21998,1261,0.15590563,0.040499702,-0.0051447093,1.1997565,-2.0768907,17.44012688342585,-16.484536082474225,27.266466050637597,0.01386533360965276,2.1531723,0.7013684,-1.9336925,0.01914,806.7785520553589,0.0,2.341891,1
-8.56,-2.6583505,1370,0.89828134,0.14046,1.0,22998,1370,0.16771357,0.012654106,-0.0038652578,1.1657064,-2.0947235,16.783941605839416,-15.824817518248175,27.145390833533718,0.013434554672650256,2.2409375,0.7055787,-1.9016722,0.0191,847.2156522274017,0.0,2.428373,1
-8.64,-2.7080016,1471,0.89403445,0.03941,1.0,23998,1471,0.14193605,0.06877351,-0.0035251686,1.1734809,-2.1254382,16.3025152957172,-15.340584636301836,27.04562763738641,0.013846816895898529,2.3426845,0.70968795,-1.9532473,0.01906,887.3153295516968,0.0,2.5496619,1
-7.85,-2.6662855,1582,0.9004711,0.03153,1.0,24998,1582,0.14394003,0.016074223,-0.0012812251,1.1501702,-2.1511228,15.801517067003793,-14.836915297092288,26.92497908964332,0.013039795325618397,2.418812,0.7137206,-1.9268336,0.01903,928.4315474033356,0.0,2.616859,1
-8.68,-2.6570644,1683,0.8992729,0.02351,0.99,25998,1683,0.1502268,-0.0010231895,-0.0033431205,1.1102471,-2.15363,15.432560903149138,-14.46642899584076,26.81837344019796,0.013675206361546672,2.4754472,0.7168835,-1.9069705,0.01899,969.4100224971771,0.0,2.6666577,1
-6.75,-2.6686215,1809,0.90136796,0.07405,1.0,26998,1809,0.14286788,0.0032342274,-0.004158774,1.1278347,-2.1739526,14.91763405196241,-13.94914317302377,26.72573992902621,0.012582018320544376,2.5699644,0.7202532,-1.9301198,0.01895,1010.1871855258942,0.0,2.7732203,1
-7.83,-2.6877403,1926,0.8969748,0.0823,1.0,27998,1926,0.1450667,0.024848076,-0.0039966144,1.0744363,-2.1937695,14.53582554517134,-13.565420560747663,26.609164828853814,0.013107764425110966,2.6303093,0.72352517,-1.9522682,0.01891,1052.1938655376434,0.0,2.8194597,1
-7.78,-2.7113938,2037,0.9017334,0.13207,1.0,28998,2037,0.1470688,0.057586323,-0.00542241,1.0603703,-2.2167788,14.23514972999509,-13.26313205694649,26.513617986350063,0.012719624024838205,2.7185066,0.726493,-1.9534955,0.01887,1093.7021124362946,0.0,2.9038732,1
-7.08,-2.7070549,2160,0.89628154,0.12989,1.0,29998,2160,0.13352819,0.04295289,-0.0048480206,1.0778425,-2.238961,13.887037037037038,-12.913425925925926,26.427444589516544,0.012945232775875065,2.7753716,0.7290998,-1.97197,0.01884,1135.1078572273254,0.0,2.9491668,1
-8.59,-2.6710997,2265,0.90039694,0.02531,1.0,30998,2265,0.13160644,0.045930445,-0.0051672882,1.08892,-2.2637067,13.685209713024282,-12.71037527593819,26.375515323117057,0.013453336931636625,2.827307,0.73169976,-1.9258702,0.0188,1175.2566583156586,0.0,3.0080643,1
-6.99,-2.694797,2390,0.89795166,0.11382,1.0,31998,2390,0.12596662,0.036413,-0.0049303216,1.0382402,-2.2726116,13.388702928870293,-12.41255230125523,26.306029158834082,0.013184068789062222,2.8904223,0.7337972,-1.947638,0.01876,1216.3751437664032,0.0,3.06195,1
-8.54,-2.7060976,2497,0.8967146,0.03153,1.0,32998,2497,0.13783345,0.03313686,-0.0049909414,1.0628726,-2.2916753,13.212655186223468,-12.235482579094914,26.256329692732695,0.013586836561167685,2.9488976,0.73594564,-1.9557595,0.01872,1256.7636218070984,0.0,3.1236992,1
-7.71,-2.7789695,2615,0.89920914,0.1979,1.0,33998,2615,0.13308014,0.018199494,-0.0030013376,1.0065674,-2.3073604,13.000764818355641,-12.022562141491395,26.180728163907453,0.012849086704948165,3.010619,0.7381245,-2.031146,0.01869,1298.5887858867645,0.0,3.1764014,1
-9.19,-2.7018545,2713,0.8953133,0.09613,1.0,34998,2713,0.12729833,0.039729428,-0.002818725,1.0027478,-2.3362293,12.900479174345742,-11.921489126428309,26.134819882305,0.012590869542908344,3.058754,0.739992,-1.9461281,0.01865,1339.1330094337463,0.0,3.2177274,1
-7.45,-2.7421284,2829,0.8957237,0.02565,1.0,35998,2829,0.11927499,0.027207306,-0.0028427856,1.019319,-2.3460977,12.718628490632732,-11.738776952986921,26.084143080379626,0.012802182832494471,3.1018803,0.7416689,-1.9777762,0.01861,1380.072172164917,0.0,3.260274,1
-8.0,-2.690724,2938,0.8979935,0.03345,1.0,36998,2938,0.12508504,0.048122,-0.0018547452,0.99053836,-2.3636053,12.591558883594281,-11.610959836623554,26.041904654256726,0.012503494129567565,3.1497092,0.7433604,-1.9276843,0.01858,1420.7102165222168,0.0,3.302349,1
-6.66,-2.6790333,3063,0.89774764,0.12197,1.0,37998,3063,0.10580118,0.029849837,-0.00028343254,1.0094012,-2.3719106,12.405484818805093,-11.42409402546523,25.9862626283813,0.013247049584930113,3.1842725,0.74497014,-1.904871,0.01854,1462.234125137329,0.0,3.3197997,1
