rollout/error,reference_actor_Q_mean,rollout/return_history,total/steps,rollout/episode_steps,total/episodes,total/epochs,reference_actor_Q_std,total/duration,train/param_noise_distance,success rate,reference_Q_std,train/loss_actor,rollout/goal_tolerance,rollout/return,reference_action_std,reference_action_mean,reference_Q_mean,rollout/actions_mean,rollout/actions_std,total/steps_per_second,rollout/Q_mean,train/loss_critic,errors,rollout/episodes
0.16222,-2.4425821,-14.6,2234998,12.755012127264946,175225,1,2.3866448,97058.82734704018,0.0,1.0,2.445211,2.2194033,0.001,-11.7554686831217,0.8586381,-0.03257103,-3.1431658,0.0047000884,0.71978205,23.027251215477996,-3.8808846,0.0553399,0.0006493552142501938,175225
0.03042,-2.450375,-15.67,2235998,12.756590845556563,175281,1,2.3727477,97103.7939260006,0.0,1.0,2.4388943,2.147898,0.001,-11.75704725554966,0.8586174,-0.042725723,-3.1546793,0.0047325953,0.7197653,23.026886073102105,-3.8808498,0.047845565,0.0006582157772037582,175281
0.04319,-2.511033,-14.48,2236998,12.75753220756557,175347,1,2.399183,97148.31892204285,0.0,1.0,2.4533043,2.2174864,0.001,-11.757988445767536,0.8601557,-0.04082623,-3.223497,0.0047331466,0.7197508,23.02662593467099,-3.8807828,0.056313552,0.0006219387710554265,175347
0.05323,-2.5079808,-13.07,2237998,12.758002268853431,175419,1,2.3921194,97192.48602080345,0.0,1.0,2.458592,2.2087443,0.001,-11.758458319794322,0.8559919,-0.050129216,-3.197235,0.0047345893,0.7197369,23.026450825848517,-3.8805416,0.046621133,0.0006432651700677872,175419
0.00107,-2.4727964,-12.52,2238998,12.758437754642689,175491,1,2.4042237,97236.62187838554,0.0,1.0,2.4727502,2.2242103,0.001,-11.758893618476161,0.85866946,-0.040967442,-3.1806717,0.0047411993,0.719714,23.026283274220788,-3.8803384,0.082561634,0.0006941484640056275,175491
0.01294,-2.4383962,-15.84,2239998,12.760182516263544,175546,1,2.3751686,97282.0488705635,0.0,1.0,2.4379168,2.2074387,0.001,-11.760638237271143,0.8616906,-0.031017119,-3.1237087,0.0047651506,0.7196984,23.025810270303623,-3.880413,0.049275972,0.0006976966697088417,175546
0.02785,-2.4854255,-15.02,2240998,12.761208138535041,175609,1,2.3706546,97328.56742691994,0.0,1.0,2.4332201,2.221734,0.001,-11.761663696052025,0.8571086,-0.045078326,-3.1834154,0.0047869515,0.7196847,23.025079473019822,-3.880311,0.047152832,0.0006794241631830156,175609
0.04608,-2.5128918,-14.41,2241998,12.7621731161128,175674,1,2.3807678,97374.41038608551,0.0,1.0,2.4456573,2.1915915,0.001,-11.762628505071895,0.86358124,-0.043686572,-3.2076569,0.00481818,0.71967727,23.024509120112466,-3.8803246,0.049535923,0.0006708023813860445,175674
0.12678,-2.4647338,-13.86,2242998,12.762725751937456,175746,1,2.3745756,97419.60164237022,0.0,1.0,2.4368865,2.2056043,0.001,-11.763180954331819,0.8601455,-0.039529476,-3.1690683,0.004850041,0.71966416,23.024093326044397,-3.8801472,0.0516501,0.0006901895457430696,175746
0.17509,-2.4847836,-14.41,2243998,12.763672352696931,175811,1,2.3928502,97465.40873837471,0.0,1.0,2.4540348,2.2048788,0.001,-11.764127386796048,0.85715336,-0.035168707,-3.1869845,0.0048574023,0.7196599,23.023532441376595,-3.8802607,0.045588657,0.0006890114146176297,175811
0.04481,-2.4686646,-14.77,2244998,12.76479183961245,175874,1,2.3792639,97510.19250845909,0.0,1.0,2.4441006,2.2163453,0.001,-11.765246710713352,0.86231667,-0.03784938,-3.1660323,0.0048827277,0.71964234,23.023213699483204,-3.880143,0.048520155,0.0006917578214367739,175874
0.18922,-2.5086732,-14.6,2245998,12.765849333287862,175938,1,2.383961,97554.93808960915,0.0,1.0,2.4453635,2.2029393,0.001,-11.766304038922803,0.8597009,-0.052995253,-3.2077727,0.0049073347,0.71962094,23.02290426279536,-3.8798668,0.049053624,0.0006900573493475362,175938
0.10601,-2.490891,-16.08,2246998,12.76722898685773,175997,1,2.348308,97599.33938360214,0.0,1.0,2.3960562,2.17836,0.001,-11.767683540060341,0.8603159,-0.057146538,-3.1977499,0.004912346,0.7196082,23.02267632333506,-3.8798766,0.060154863,0.0006611917811938363,175997
0.05214,-2.48739,-13.46,2247998,12.76763219174192,176070,1,2.3794858,97643.70592474937,0.0,1.0,2.444608,2.2249737,0.001,-11.768086556483217,0.85936576,-0.0399402,-3.1808329,0.004922944,0.719599,23.022456785206966,-3.8796842,0.04791315,0.0006277240476176061,176070
0.00247,-2.4846563,-13.71,2248998,12.768483086740776,176134,1,2.363838,97688.04347085953,0.0,1.0,2.430477,2.1805196,0.001,-11.76893728638423,0.86240065,-0.043868486,-3.184981,0.0049395356,0.7195689,23.022244279781066,-3.8793974,0.046575133,0.0006651837170528965,176134
0.03345,-2.4818075,-15.81,2249998,12.770337535260431,176189,1,2.3710167,97732.886531353,0.0,0.99,2.4329734,2.2049289,0.001,-11.770797268841982,0.8642071,-0.024401607,-3.1843894,0.0049561406,0.7195338,23.021912887819948,-3.8796632,0.04972575,0.0007371895152787875,176189
0.00286,-2.4679084,-16.41,2250998,12.771902749014156,176245,1,2.369636,97777.30400371552,0.0,0.99,2.4378507,2.1887944,0.001,-11.772362336520185,0.8629359,-0.041641083,-3.1538393,0.004969583,0.7195178,23.021682004184353,-3.8795834,0.045169197,0.0007090382415207916,176245
0.01151,-2.5153246,-14.64,2251998,12.772632916274373,176314,1,2.3882442,97821.09146785736,0.0,1.0,2.455182,2.2268138,0.001,-11.773092323922093,0.85966873,-0.061576113,-3.2159662,0.0049728365,0.719492,23.021599597873788,-3.8792136,0.044959564,0.0006878961205797663,176314
0.00373,-2.48105,-13.05,2252998,12.772955076309046,176388,1,2.3567715,97865.63958716393,0.0,1.0,2.4273145,2.1784205,0.001,-11.773414291221625,0.86047786,-0.04722622,-3.160306,0.004979416,0.7194797,23.02133833186028,-3.8789752,0.046674564,0.0006643503656189866,176388
0.11052,-2.463627,-13.73,2253998,12.773928468203998,176453,1,2.3687315,97911.28075265884,0.0,1.0,2.4353764,2.1866615,0.001,-11.774387513955558,0.85754865,-0.049631625,-3.1538904,0.004981521,0.7194691,23.020820304597958,-3.8788905,0.048781026,0.0006822694731905538,176453
0.07066,-2.5765228,-13.23,2254998,12.774594668086698,176522,1,2.3931777,97956.15663552284,0.0,1.0,2.4451435,2.1965935,0.001,-11.775053534403643,0.8616089,-0.012371098,-3.2650402,0.005026106,0.71946603,23.0204826062178,-3.878883,0.07152588,0.0006742244270186895,176522
0.05294,-2.4578867,-12.73,2255998,12.77476528613008,176598,1,2.3747551,98000.85764861107,0.0,1.0,2.435784,2.1806927,0.001,-11.775223954971178,0.86140275,-0.039917663,-3.1535475,0.005043781,0.71945304,23.020186293563253,-3.8786764,0.04813591,0.0006511562181264777,176598
0.00056,-2.4745007,-13.96,2256998,12.776026129435806,176659,1,2.3740585,98046.35170388222,0.0,1.0,2.4377341,2.1634529,0.001,-11.776484639899467,0.8635974,-0.056251135,-3.1717787,0.0050471975,0.719437,23.019704056062622,-3.8785777,0.06557834,0.0007129303193563781,176659
0.00252,-2.4717846,-14.81,2257998,12.777035859188882,176719,1,2.341009,98091.38239312172,0.0,1.0,2.411747,2.1603985,0.001,-11.777494213978123,0.85891783,-0.047953144,-3.1588557,0.0050853677,0.7194178,23.019331004538206,-3.8784597,0.049803462,0.0007084914352265395,176719
0.05281,-2.4963064,-15.5,2258998,12.77852698269035,176780,1,2.3727713,98137.06585407257,0.0,0.99,2.442247,2.2182424,0.001,-11.778990836067429,0.8606938,-0.050047204,-3.1710124,0.0050913244,0.7193861,23.018805181714676,-3.8782377,0.050805755,0.0006995573877073115,176780
0.08583,-2.4947426,-15.23,2259998,12.779646352979762,176843,1,2.3669972,98182.40478849411,0.0,1.0,2.431875,2.1522655,0.001,-11.78011004110991,0.86056393,-0.058621854,-3.176662,0.005110297,0.71936476,23.018360620403612,-3.8780444,0.044973597,0.0006866580272857795,176843
0.05981,-2.4969964,-15.8,2260998,12.780814561487805,176905,1,2.3582027,98228.35789132118,0.0,1.0,2.4221709,2.1946816,0.001,-11.7812780871089,0.85895383,-0.05604298,-3.1934795,0.00508173,0.71935713,23.01777255099331,-3.8780084,0.04774513,0.0006967938582919828,176905
0.00619,-2.4572048,-15.48,2261998,12.782293473777004,176963,1,2.379569,98274.69526934624,0.0,1.0,2.4403522,2.2137465,0.001,-11.782756847476591,0.86016417,-0.05931474,-3.1436038,0.0051017306,0.71933967,23.017095029401332,-3.8778408,0.04823484,0.0006827586095220793,176963
0.02235,-2.4893863,-13.27,2262998,12.78254386064009,177038,1,2.3590653,98319.48192000389,0.0,1.0,2.4262595,2.1808593,0.001,-11.78300703803703,0.8603588,-0.053983707,-3.185778,0.0051156264,0.719328,23.01678116897781,-3.8776248,0.04632704,0.0006873421668630987,177038
