reference_actor_Q_std,total/epochs,total/duration,success rate,reference_action_mean,total/steps_per_second,rollout/error,rollout/return_history,total/episodes,reference_Q_mean,errors,total/steps,reference_actor_Q_mean,reference_Q_std,rollout/goal_tolerance,train/loss_critic,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/actions_mean,rollout/actions_std,rollout/episodes,reference_action_std,rollout/return,train/param_noise_distance
1.6523433,1,663.9446437358856,1.0,-0.14110619,27.107681596358397,0.10876,-11.47,772,-3.5034595,0.01356799933936917,17998,-2.8171346,1.4495983,0.01929,0.14251855,1.7241275,-2.1510098,23.30440414507772,-0.0254331,0.682975,772,0.88958436,-22.383419689119172,0.0
1.7894948,1,703.969230890274,1.0,-0.12369362,26.986974950558842,0.02361,-11.32,855,-3.5693576,0.014072642764759984,18998,-2.8670278,1.58019,0.01926,0.14671054,1.6976582,-2.2009754,22.217543859649123,-0.030161811,0.68850094,855,0.89525646,-21.288888888888888,0.0
1.9007877,1,744.4043922424316,0.99,-0.1410395,26.864430420350356,0.09426,-10.61,941,-3.5773077,0.014476045427144195,19998,-2.85891,1.6893623,0.01922,0.13463502,1.7190975,-2.259265,21.24442082890542,-0.029712703,0.69323397,941,0.8948891,-20.310308182784272,0.0
2.04073,1,785.7024941444397,1.0,-0.12601377,26.72512834882236,0.18183,-10.45,1031,-3.6521137,0.013682781615051896,20998,-2.9351115,1.8080584,0.01918,0.14130244,1.72818,-2.3172834,20.365664403491756,-0.02923457,0.6983941,1031,0.8980867,-19.425800193986422,0.0
2.1501586,1,826.6557140350342,0.99,-0.14304085,26.610836441962476,0.01139,-12.32,1100,-3.6034317,0.01394562002633557,21998,-2.8873658,1.9180082,0.01914,0.1346199,1.6939694,-2.365392,20.0,-0.030865144,0.7022413,1100,0.89578325,-19.05727272727273,0.0
2.2518978,1,867.3010375499725,1.0,-0.12684837,26.516744480055912,0.20448,-9.84,1194,-3.6264389,0.013633552100957728,22998,-2.8925166,2.0315905,0.0191,0.13944912,1.664343,-2.416024,19.257956448911223,-0.02908885,0.7063918,1194,0.899888,-18.3107202680067,0.0
2.3652115,1,908.8507709503174,0.99,-0.11080003,26.40477487289479,0.113,-10.1,1282,-3.6130016,0.01362327597998265,23998,-2.8884113,2.1335628,0.01906,0.13308881,1.6800922,-2.469472,18.71606864274571,-0.024840226,0.7100424,1282,0.89855355,-17.765990639625585,0.0
2.4439847,1,949.9666380882263,0.99,-0.12819904,26.314608321727565,0.03981,-11.79,1368,-3.6161873,0.014174030013555852,24998,-2.8701098,2.2170086,0.01903,0.1281735,1.6499481,-2.5324454,18.262426900584796,-0.023601968,0.71370524,1368,0.9022259,-17.30921052631579,0.0
2.5736017,1,991.5471551418304,0.99,-0.12091408,26.21963046858952,0.02449,-9.47,1459,-3.6485436,0.013876956669702997,25998,-2.9087892,2.347476,0.01899,0.12440177,1.6206623,-2.551489,17.776559287183,-0.024861401,0.7168927,1459,0.9011025,-16.82111034955449,0.0
2.652409,1,1033.303407907486,0.98,-0.104484975,26.127853439168366,0.05342,-11.94,1543,-3.5964108,0.013964116800890727,26998,-2.8633394,2.4193714,0.01895,0.12104089,1.6346436,-2.5923114,17.48606610499028,-0.026066428,0.7200312,1543,0.90239686,-16.528839922229423,0.0
2.728157,1,1075.7211649417877,1.0,-0.092859775,26.027190792992442,0.01091,-8.96,1644,-3.6240945,0.013816015448681128,27998,-2.8892102,2.5140734,0.01891,0.118484676,1.6530412,-2.623728,17.0316301703163,-0.023018567,0.72313195,1644,0.9024955,-16.07177615571776,0.0
2.8177986,1,1118.726464509964,1.0,-0.0973411,25.920545298534616,0.01971,-9.83,1736,-3.6639748,0.013634725161661239,28998,-2.950835,2.5943935,0.01887,0.11812921,1.5964688,-2.6659887,16.702764976958527,-0.023495708,0.7260608,1736,0.90037304,-15.740783410138249,0.0
2.8900495,1,1160.6570570468903,1.0,-0.07366667,25.845705083916176,0.05378,-9.2,1834,-3.655103,0.013343166902443058,29998,-2.9351497,2.6612356,0.01884,0.11556343,1.5878829,-2.692538,16.355507088331517,-0.022596221,0.7285574,1834,0.90073556,-15.391494002181025,0.0
2.9504566,1,1203.3961627483368,1.0,-0.068591364,25.75876586576962,0.10953,-7.4,1950,-3.626929,0.013382810172102992,30998,-2.9176,2.7184427,0.0188,0.1160716,1.5787657,-2.7151532,15.896923076923077,-0.020338573,0.73070115,1950,0.9072855,-14.930769230769231,0.0
3.0248518,1,1245.2478301525116,1.0,-0.07123605,25.696089746312627,0.07673,-8.4,2061,-3.62399,0.013422213021374252,31998,-2.9095192,2.7919242,0.01876,0.10888229,1.5304704,-2.7411015,15.523532265890344,-0.017643837,0.7329794,2061,0.90140504,-14.555555555555555,0.0
3.0640538,1,1287.0488495826721,1.0,-0.062383268,25.63849850042573,0.24898,-10.21,2153,-3.614788,0.013565164305298243,32998,-2.8824906,2.8639476,0.01872,0.10473934,1.5301739,-2.778629,15.32559219693451,-0.016812043,0.7348162,2153,0.90057504,-14.356247097073851,0.0
3.1294956,1,1330.2168078422546,1.0,-0.066928,25.55823967910026,0.05089,-9.5,2249,-3.651546,0.013814388181736376,33998,-2.9275098,2.9159162,0.01869,0.101428784,1.4991535,-2.821347,15.116940862605603,-0.017714938,0.73667765,2249,0.8992522,-14.146287238772787,0.0
3.2065542,1,1372.254566192627,1.0,-0.048501182,25.504014242126587,0.09968,-9.03,2348,-3.6367595,0.013483390398177798,34998,-2.903504,2.9855256,0.01865,0.10574222,1.494246,-2.8517113,14.901618398637138,-0.016570097,0.73834354,2348,0.9003141,-13.929727427597955,0.0
3.224037,1,1413.531919002533,1.0,-0.056173284,25.466704724575443,0.21553,-8.85,2449,-3.622848,0.01343815990030123,35998,-2.8816004,3.0228422,0.01861,0.10800934,1.4491341,-2.877487,14.698652511229072,-0.015030135,0.74002296,2449,0.8979002,-13.72560228664761,0.0
3.302409,1,1456.1151568889618,1.0,-0.053338096,25.40870467899493,0.12515,-7.23,2563,-3.6212695,0.013053047678488588,36998,-2.8795896,3.0951726,0.01858,0.10716734,1.4674114,-2.8993337,14.435037065938353,-0.012276677,0.74178994,2563,0.8941315,-13.460788138899726,0.0
3.330687,1,1498.1262814998627,1.0,-0.040107492,25.363682934630823,0.0187,-11.01,2644,-3.6065397,0.013116533557165869,37998,-2.8663397,3.1312146,0.01854,0.10612328,1.4514513,-2.935599,14.366111951588502,-0.011875136,0.7433109,2644,0.8984669,-13.3910741301059,0.0
3.3434522,1,1540.336720943451,1.0,-0.04664437,25.317840878398236,0.02005,-8.3,2752,-3.5751877,0.01312786336133382,38998,-2.8121796,3.1575556,0.0185,0.099452846,1.4323536,-2.9478362,14.170058139534884,-0.010103741,0.7447015,2752,0.8951295,-13.194040697674419,0.0
3.3983223,1,1582.7247967720032,1.0,-0.04324838,25.271607598223436,0.08831,-7.97,2861,-3.6118617,0.012468539580088152,39998,-2.8543613,3.2103748,0.01846,0.08957547,1.4302444,-2.959679,13.979377839916113,-0.010221042,0.74573827,2861,0.89760906,-13.002446696959105,0.0
