train/loss_actor,reference_action_std,total/steps_per_second,train/loss_critic,total/steps,rollout/goal_tolerance,success rate,rollout/return_history,rollout/return,reference_Q_mean,rollout/Q_mean,errors,reference_Q_std,reference_actor_Q_std,rollout/actions_std,rollout/episode_steps,reference_action_mean,total/episodes,total/epochs,reference_actor_Q_mean,train/param_noise_distance,rollout/episodes,total/duration,rollout/error,rollout/actions_mean
1.5586406,0.895119,25.934448833729427,0.1680457,17998,0.01929,1.0,-6.5,-15.051601423487545,-2.7039964,-2.0406,0.013153308002170206,2.0432935,2.09912,0.6797627,16.00711743772242,-0.05752094,1124,1,-1.9977164,0.0,1124,693.9804317951202,0.05651,-0.012083628
1.536643,0.8897173,25.759387655402858,0.15643169,18998,0.01926,1.0,-6.91,-14.28812199036918,-2.6458278,-2.0898871,0.013033255455122142,2.1112266,2.1520863,0.6862975,15.247993579454254,-0.096583486,1246,1,-1.9551882,0.0,1246,737.5175316333771,0.23818,-0.008460971
1.4734988,0.88624364,25.614943508251024,0.16237947,19998,0.01922,1.0,-7.04,-13.635036496350365,-2.6075969,-2.1277056,0.013521088725783949,2.2014146,2.2369373,0.69205797,14.598540145985401,-0.093135424,1370,1,-1.8941386,0.0,1370,780.7161469459534,0.00566,-0.0090613635
1.4500732,0.89155084,25.493092410313285,0.15570931,20998,0.01918,0.99,-9.61,-13.414667580534612,-2.6038353,-2.1673028,0.013906663914414892,2.262144,2.2869987,0.6960805,14.379712131596984,-0.08615365,1459,1,-1.9143593,0.0,1459,823.6741020679474,0.04173,-0.010164305
1.4269905,0.8868781,25.34226842065343,0.1594597,21998,0.01914,1.0,-6.35,-12.824451410658307,-2.522122,-2.2044156,0.013096940253458169,2.321118,2.3495958,0.70116544,13.792476489028212,-0.111203276,1595,1,-1.8164595,0.0,1595,868.0359482765198,0.03725,-0.011010873
1.4207063,0.88919115,25.250193863393882,0.1460054,22998,0.0191,1.0,-7.86,-12.455925277291302,-2.5138414,-2.2498963,0.014034988915644633,2.3867292,2.4072611,0.70565933,13.426152948044367,-0.07453392,1713,1,-1.8229961,0.0,1713,910.8048882484436,0.12897,-0.01078206
1.3735499,0.8905681,25.140370789886553,0.15288572,23998,0.01906,1.0,-6.95,-12.10741548527808,-2.5348637,-2.2828922,0.013999330718303803,2.4282718,2.461027,0.7093988,13.079607415485277,-0.056229103,1834,1,-1.8241775,0.0,1834,954.5603046417236,0.05685,-0.012026788
1.3718038,0.88328904,25.04933486095241,0.14726314,24998,0.01903,1.0,-7.64,-11.82642089093702,-2.4335222,-2.307783,0.01294613310737971,2.4850693,2.505663,0.7128128,12.800307219662058,-0.10134536,1953,1,-1.7371548,0.0,1953,997.9506497383118,0.02556,-0.014415347
1.3117763,0.8915575,24.9726725271815,0.14081885,25998,0.01899,1.0,-7.24,-11.582406959884002,-2.4847157,-2.3519998,0.012970975457257495,2.517916,2.5439107,0.7166706,12.557757370710489,-0.070400655,2069,1,-1.7934977,0.0,2069,1041.0579793453217,0.03607,-0.016990826
1.263124,0.8876925,24.903127561592417,0.14613923,26998,0.01895,1.0,-6.82,-11.322698268003647,-2.4543886,-2.3746123,0.012822131413488074,2.578919,2.5989838,0.71968424,12.299453053783045,-0.089921065,2194,1,-1.7595524,0.0,2194,1084.1208572387695,0.13056,-0.016361265
1.2588127,0.8880652,24.81314756568205,0.14413337,27998,0.01891,1.0,-6.04,-11.01713796058269,-2.4550962,-2.3936036,0.014145519226650867,2.6288946,2.6342337,0.7225296,11.99528706083976,-0.09714323,2334,1,-1.7759238,0.0,2334,1128.35342335701,0.07422,-0.016679158
1.25545,0.8846937,24.723038201939513,0.13005777,28998,0.01887,1.0,-6.01,-10.751618122977346,-2.3650675,-2.411503,0.013489481056136666,2.62575,2.6305318,0.72540045,11.73098705501618,-0.09168442,2472,1,-1.6853518,0.0,2472,1172.914095878601,0.10219,-0.018342506
1.1884493,0.886821,24.625116239507122,0.12739319,29998,0.01884,0.99,-7.12,-10.565819861431871,-2.4028115,-2.4241505,0.013468478010081601,2.6858037,2.6799164,0.7276342,11.545804464973056,-0.022788951,2598,1,-1.7118098,0.0,2598,1218.187143087387,0.15467,-0.017446965
1.1566694,0.8851984,24.558757211840767,0.13088058,30998,0.0188,1.0,-5.6,-10.289818181818182,-2.3307352,-2.4265356,0.012849286770008865,2.7336693,2.7279725,0.72972995,11.270909090909091,-0.03597864,2750,1,-1.6395106,0.0,2750,1262.1974203586578,0.04467,-0.016776394
1.1749032,0.88157606,24.49919215209333,0.120216504,31998,0.01876,1.0,-6.82,-10.130964820619994,-2.3877642,-2.4406185,0.013921163514033209,2.7485597,2.738615,0.73165673,11.112852664576803,-0.07325735,2871,1,-1.6829643,0.0,2871,1306.0838823318481,0.05355,-0.017878888
1.08392,0.88036275,24.443384883942745,0.1280632,32998,0.01872,1.0,-5.32,-9.970129439097246,-2.3370216,-2.447396,0.013020177897276304,2.8050065,2.798002,0.7336176,10.952538997676735,-0.04853667,3013,1,-1.6375744,0.0,3013,1349.9766974449158,0.01655,-0.01905917
1.0853839,0.87942535,24.38735860635093,0.1179867,33998,0.01869,1.0,-6.13,-9.812638932994602,-2.3125262,-2.4626942,0.013478549960148896,2.7907934,2.7855437,0.73522586,10.795808193077168,-0.0425584,3149,1,-1.6210372,0.0,3149,1394.082916021347,0.12024,-0.01860783
1.0336095,0.87741697,24.31674385264899,0.120246746,34998,0.01865,1.0,-6.59,-9.668797564687976,-2.3113124,-2.485007,0.012902851163391698,2.8493667,2.857525,0.7369653,10.652663622526637,-0.074976146,3285,1,-1.6208634,0.0,3285,1439.2551984786987,0.05898,-0.018456612
1.1019471,0.88278425,24.268053491150805,0.11468801,35998,0.01861,1.0,-7.77,-9.594181604466646,-2.2614708,-2.5080748,0.012844953931574981,2.8828142,2.8777752,0.7385576,10.57860711137232,-0.0603292,3403,1,-1.5638016,0.0,3403,1483.3492934703827,0.04374,-0.018140877
1.0166949,0.881121,24.205364045711555,0.11207568,36998,0.01858,1.0,-6.51,-9.484153933220147,-2.2519028,-2.5137832,0.01238022487315046,2.8962593,2.9028645,0.73985183,10.46915676287493,-0.0531791,3534,1,-1.5577085,0.0,3534,1528.5041749477386,0.15669,-0.01765572
1.0377932,0.8802544,24.161425583864457,0.113515094,37998,0.01854,1.0,-6.73,-9.395628415300546,-2.2780602,-2.521315,0.012935907126758281,2.92649,2.9197671,0.7412458,10.381147540983607,-0.04467924,3660,1,-1.5886991,0.0,3660,1572.6721036434174,0.07023,-0.016968578
1.001447,0.8730426,24.130222492941602,0.11245547,38998,0.0185,1.0,-7.17,-9.318794607454402,-2.2313256,-2.5321333,0.013015751738739298,2.937483,2.940808,0.7426057,10.304784562516522,-0.050507367,3783,1,-1.5494162,0.0,3783,1616.14755153656,0.06051,-0.017393269
1.0073353,0.8736887,24.0902673363378,0.10775685,39998,0.01846,1.0,-6.91,-9.220265441551811,-2.2473574,-2.5439863,0.012968260144126519,2.9546425,2.9495246,0.74390316,10.206738131699847,-0.075921796,3918,1,-1.5630957,0.0,3918,1660.3385691642761,0.02516,-0.015045137
0.9501793,0.8735802,24.05752632927484,0.10755582,40998,0.01843,1.0,-7.32,-9.149604352126607,-2.2203703,-2.558954,0.013019705372300048,2.9662712,2.968425,0.74511945,10.136498516320474,-0.08700249,4044,1,-1.5401151,0.0,4044,1704.1652345657349,0.08514,-0.014606423
0.9889887,0.87291074,24.020215625852604,0.12134901,41998,0.01839,1.0,-6.97,-9.081515224166866,-2.223826,-2.5728655,0.01276176057494816,2.9764855,2.9677155,0.74603313,10.068808439223208,-0.018211247,4171,1,-1.5551457,0.0,4171,1748.443921327591,0.04257,-0.014712111
0.96246284,0.87173945,23.98305451606141,0.11063616,42998,0.01835,1.0,-7.25,-9.02119236143456,-2.2354517,-2.5952878,0.012575815370718195,3.02064,3.0001962,0.7470896,10.008849557522124,-0.041473743,4294,1,-1.5555437,0.0,4294,1792.8491957187653,0.08786,-0.013127572
0.9820198,0.87271476,23.94608300666649,0.099823385,43998,0.01832,1.0,-7.08,-8.97351143309939,-2.1943297,-2.603764,0.011799214274412682,3.0115404,3.0077803,0.74784434,9.961512338691419,-0.030845776,4417,1,-1.5188729,0.0,4417,1837.3777451515198,0.00797,-0.01343713
0.9373386,0.87037206,23.920696736101856,0.10709423,44998,0.01828,0.99,-8.13,-8.951844488623813,-2.1991034,-2.6191585,0.01295633743820077,3.01996,3.017718,0.7488469,9.939916059200353,-0.08873428,4527,1,-1.5151718,0.0,4527,1881.1324977874756,0.12418,-0.01407347
0.91611123,0.8722431,23.894822013325467,0.09948457,45998,0.01824,1.0,-6.39,-8.875160875160875,-2.1628995,-2.62083,0.013049072169558678,3.0386922,3.027308,0.74970543,9.863577863577863,-0.040123824,4662,1,-1.4943768,0.0,4662,1925.0195701122284,0.15511,-0.013299999
0.92343104,0.8724138,23.86104217009452,0.1144621,46998,0.01821,1.0,-6.63,-8.814768460575719,-2.171024,-2.6248899,0.012925065644370886,3.0386767,3.0307224,0.7505979,9.803504380475594,-0.04481861,4794,1,-1.5032263,0.0,4794,1969.6541192531586,0.0413,-0.01174805
0.9679617,0.8704329,23.819513661648333,0.0972665,47998,0.01817,1.0,-6.64,-8.736116740980949,-2.1805398,-2.6305554,0.01227302506917726,3.0206213,3.0030055,0.7513482,9.725172274017025,-0.025269752,4934,1,-1.4959471,0.0,4934,2015.0705292224884,0.02343,-0.012097081
0.89086306,0.8704086,23.795859353979406,0.098918915,48998,0.01814,1.0,-5.93,-8.69255087927287,-2.14543,-2.6460412,0.012018932255790316,3.0277543,3.0075474,0.7521412,9.681881051175656,-0.029514529,5061,1,-1.4623477,0.0,5061,2059.0977308750153,0.00984,-0.010968621
0.92846674,0.8716559,23.757377467595376,0.098097414,49998,0.0181,1.0,-6.09,-8.624615384615385,-2.1578312,-2.646268,0.012001030043599674,3.0659344,3.0429642,0.7528575,9.614230769230769,-0.053381894,5200,1,-1.4758489,0.0,5200,2104.5252182483673,0.02441,-0.012024185
0.89536613,0.86648804,23.72552554647261,0.09436574,50998,0.01806,1.0,-6.35,-8.569928758905137,-2.115399,-2.6499178,0.01246444587336763,3.0551534,3.039968,0.75354606,9.559805024371954,-0.042411756,5334,1,-1.4346137,0.0,5334,2149.499276638031,0.08345,-0.011789637
0.8596998,0.8716862,23.6924961758935,0.103712976,51998,0.01803,1.0,-6.95,-8.53850385038504,-2.103869,-2.664754,0.012938811349214057,3.0806549,3.0738032,0.75406694,9.528602860286028,-0.030431552,5454,1,-1.4338142,0.0,5454,2194.703319311142,0.06553,-0.010837481
0.8869891,0.8709948,23.65875543444625,0.100270204,52998,0.01799,1.0,-7.09,-8.505823329152483,-2.1230466,-2.6723912,0.012992686405149773,3.080758,3.0743432,0.754642,9.496147643791435,-0.037070036,5581,1,-1.4483101,0.0,5581,2240.1009278297424,0.06827,-0.0099256495
0.88019615,0.8784036,23.635117603865655,0.09428011,53998,0.01796,1.0,-5.98,-8.444774554351625,-2.1080108,-2.6723459,0.012456446975614125,3.070278,3.0694892,0.75531286,9.43533729465222,-0.014802403,5722,1,-1.4346073,0.0,5722,2284.651208639145,0.07092,-0.009993724
0.8558216,0.8686566,23.603920959209205,0.09744928,54998,0.01792,1.0,-5.23,-8.406768073833533,-2.0964456,-2.6804538,0.012157143481800924,3.1077085,3.1177568,0.75586116,9.39736797128696,-0.073222004,5851,1,-1.4347185,0.0,5851,2330.0366110801697,0.04624,-0.009751556
0.8517633,0.8730724,23.576558623310977,0.08806691,55998,0.01788,1.0,-5.45,-8.344057342890482,-2.118466,-2.685029,0.011712563837163929,3.1242337,3.126861,0.7565861,9.334889148191365,-0.036992304,5999,1,-1.4404758,0.0,5999,2375.1558017730713,0.01108,-0.009076603
0.83688873,0.8727942,23.5570900259495,0.08945716,56998,0.01785,1.0,-6.23,-8.296332518337408,-2.0879006,-2.6881957,0.011478331505136522,3.124523,3.1241176,0.75721663,9.287367563162185,-0.013190462,6135,1,-1.4030181,0.0,6135,2419.5687980651855,0.07998,-0.008663707
0.85685813,0.87547845,23.545467553126862,0.08712759,57998,0.01781,1.0,-5.94,-8.248367054325314,-2.0294256,-2.6869211,0.01219301505732388,3.114137,3.1260564,0.7577426,9.239604906802613,-0.027472874,6277,1,-1.3456311,0.0,6277,2463.234160423279,0.20951,-0.00817782
0.86550117,0.8700217,23.52100905345337,0.09851215,58998,0.01778,1.0,-6.12,-8.20227520648278,-2.0725155,-2.686608,0.011843746404713489,3.1139178,3.1295042,0.7581979,9.193704223157239,-0.048973095,6417,1,-1.3960915,0.0,6417,2508.310755968094,0.09833,-0.0067751417
0.848184,0.8683475,23.50912889843207,0.08761096,59998,0.01774,1.0,-6.72,-8.165445665445665,-2.0239105,-2.6890087,0.01235774323275963,3.1446784,3.1611755,0.7585826,9.157051282051283,-0.05759037,6552,1,-1.3447864,0.0,6552,2552.114978790283,0.05051,-0.008146506
0.8848809,0.8704225,23.500203707193112,0.08081119,60998,0.01771,1.0,-7.34,-8.155092245387731,-2.0184846,-2.6974592,0.012383050543970037,3.147743,3.1743662,0.7588822,9.146842657867106,-0.038093846,6667,1,-1.322521,0.0,6667,2595.63707447052,0.06236,-0.008257274
0.81106323,0.876772,23.47972053439274,0.08260662,61998,0.01767,1.0,-7.45,-8.13648409893993,-2.0521798,-2.707028,0.012139711956326384,3.176176,3.1972034,0.7592102,9.128386336866901,-0.032374427,6792,1,-1.3700116,0.0,6792,2640.49139380455,0.00514,-0.008378425
0.8226204,0.8713451,23.465846730618242,0.085819006,62998,0.01764,1.0,-6.18,-8.09972579015731,-1.9865437,-2.7147472,0.01165335374884694,3.153731,3.1683261,0.75953716,9.09178813681628,-0.0064694188,6929,1,-1.2896718,0.0,6929,2684.6676671504974,0.03792,-0.008849504
0.88902646,0.87516993,23.457265911765536,0.08018436,63998,0.0176,1.0,-7.06,-8.080521689821378,-1.94909,-2.7199705,0.012286811955232187,3.1787155,3.206529,0.7597635,9.072724695208393,-0.027630026,7054,1,-1.2590165,0.0,7054,2728.280450105667,0.09799,-0.009292613
0.86167145,0.8802076,23.43778676084998,0.07963001,64998,0.01757,1.0,-6.78,-8.064659977703457,-1.9847409,-2.7263355,0.011826392735446162,3.180151,3.199731,0.75992054,9.056995540691194,-0.029486401,7176,1,-1.2957101,0.0,7176,2773.214069366455,0.05308,-0.010098711
0.83732575,0.8728938,23.409649784190837,0.07855733,65998,0.01753,1.0,-6.06,-8.015151515151516,-1.9323905,-2.7276862,0.011946669448883597,3.1838396,3.205723,0.76027834,9.007644007644007,-0.012918237,7326,1,-1.2402472,0.0,7326,2819.2647309303284,0.0379,-0.010836027
0.8441879,0.8761664,23.389167516157904,0.075928554,66998,0.0175,1.0,-5.43,-7.963106536559284,-1.9908673,-2.720026,0.011639372626625556,3.199701,3.2116203,0.76059157,8.955754578264937,-0.049551386,7481,1,-1.2878287,0.0,7481,2864.4884412288666,0.02704,-0.01022844
0.81634796,0.8769489,23.375749624381648,0.07667833,67998,0.01746,1.0,-6.65,-7.942444152431012,-1.9194609,-2.7257853,0.012389812570277927,3.2098684,3.2353911,0.76091635,8.93521681997372,-0.04055294,7610,1,-1.2354512,0.0,7610,2908.9120602607727,0.13189,-0.009672542
0.81919014,0.87795013,23.36369428514026,0.07787069,68998,0.01743,1.0,-6.6,-7.918377889706832,-1.9155139,-2.7290301,0.012264445245129825,3.2407682,3.2582464,0.7611626,8.911274699728787,-0.022189269,7743,1,-1.2339085,0.0,7743,2953.2144684791565,0.01456,-0.009130867
0.8535805,0.87497723,23.34990902403463,0.07530149,69998,0.01739,1.0,-6.37,-7.888973480522776,-1.9029748,-2.735161,0.011767352552326598,3.2316592,3.2366247,0.761537,8.881994670727066,-0.051948443,7881,1,-1.2190015,0.0,7881,2997.784699201584,0.02194,-0.009080233
0.78888583,0.87372446,23.330901460870567,0.08138885,70998,0.01736,1.0,-6.7,-7.8681977034448325,-1.9062045,-2.742413,0.011669609606662669,3.233576,3.253771,0.7616769,8.86133300049925,-0.04103267,8012,1,-1.2183251,0.0,8012,3043.0885887145996,0.03697,-0.008186901
0.8503962,0.87372065,23.316019202611475,0.082524784,71998,0.01732,1.0,-6.64,-7.844340780751289,-1.8919935,-2.7479224,0.011609017678921876,3.282012,3.297709,0.7619474,8.837589000736557,-0.02420623,8146,1,-1.2007539,0.0,8146,3087.9199135303497,0.07613,-0.007791985
0.8559448,0.87008256,23.30797171770242,0.08013691,72998,0.01729,1.0,-7.39,-7.8399903171145,-1.8621923,-2.758559,0.011787322471269686,3.2432225,3.2472284,0.76234126,8.833333333333334,-0.0387798,8262,1,-1.1747408,0.0,8262,3131.8898479938507,0.06115,-0.0076342504
0.8279184,0.8717829,23.29726021014215,0.07631853,73998,0.01725,1.0,-6.65,-7.818625699654638,-1.8414078,-2.7647023,0.01205398691051287,3.273196,3.2732391,0.7626474,8.81207574133619,-0.025718132,8397,1,-1.1653352,0.0,8397,3176.2533161640167,0.12891,-0.008103191
0.8205497,0.86984634,23.282042179297925,0.07535555,74998,0.01722,1.0,-6.84,-7.798124267291911,-1.8145046,-2.7710214,0.01181634137295098,3.279904,3.275552,0.7628984,8.791676436107855,-0.081932075,8530,1,-1.1458077,0.0,8530,3221.280995130539,0.02607,-0.008147666
0.79038435,0.87282306,23.272156768899094,0.07596889,75998,0.01718,1.0,-6.02,-7.765621397279225,-1.8241234,-2.7709455,0.011680249661867084,3.300579,3.2959657,0.76300174,8.759280608715702,-0.03821896,8674,1,-1.1342156,0.0,8674,3265.6191153526306,0.06037,-0.008354636
0.7729642,0.87453216,23.25872906994726,0.07398746,76998,0.01715,1.0,-6.92,-7.753919563735515,-1.7846339,-2.7716892,0.01145923431256105,3.294207,3.2995648,0.763096,8.747670983867303,-0.0054054465,8802,1,-1.1097422,0.0,8802,3310.4990289211273,0.04054,-0.00825294
0.80039304,0.86738497,23.253199988500977,0.075721405,77998,0.01712,1.0,-5.94,-7.735534415221041,-1.7413414,-2.772634,0.010959193013909607,3.3013952,3.2978954,0.7632261,8.729378847229995,-0.06251616,8935,1,-1.0524672,0.0,8935,3354.2910239696503,0.14462,-0.007857246
0.7656871,0.8666899,23.238778292414512,0.06892691,78998,0.01708,1.0,-4.82,-7.691918636613524,-1.8002076,-2.7665167,0.011399612428598604,3.3150554,3.3125005,0.76346844,8.68587135788895,-0.06657293,9095,1,-1.099355,0.0,9095,3399.4041771888733,0.05183,-0.006983957
0.80539787,0.86562896,23.224122711820982,0.07441027,79998,0.01705,1.0,-6.98,-7.6750839926303245,-1.7474179,-2.7680292,0.011968278913901377,3.303555,3.2958684,0.76361203,8.669123225317005,-0.0882952,9227,1,-1.0551219,0.0,9227,3444.6080479621887,0.03585,-0.0072691306
0.79183286,0.87234384,23.21199439433532,0.0741294,80998,0.01701,1.0,-7.75,-7.674015410958904,-1.7530003,-2.7719314,0.011762199686016238,3.3533528,3.3540041,0.7637731,8.668129280821917,-0.04124243,9344,1,-1.0711228,0.0,9344,3489.489038467407,0.11576,-0.006669768
0.79382837,0.86818224,23.203018040679577,0.074914366,81998,0.01698,1.0,-8.23,-7.675512793402411,-1.7737758,-2.779572,0.01114059968674336,3.3329844,3.3276832,0.7638682,8.669697610488475,-0.07245761,9458,1,-1.0932258,0.0,9458,3533.9368290901184,0.0633,-0.0071542766
0.7960284,0.8666949,23.199696917491398,0.06967607,82998,0.01695,1.0,-6.89,-7.659019812304484,-1.753698,-2.7836,0.011698027105895395,3.3150694,3.3047712,0.7640106,8.653284671532846,-0.057781886,9590,1,-1.0728754,0.0,9590,3577.546736717224,0.08155,-0.007395839
0.7255133,0.87151104,23.187626381566286,0.06933353,83998,0.01691,1.0,-7.0,-7.656298279946442,-1.7309976,-2.7886567,0.011173874854870971,3.3417177,3.3307605,0.7641521,8.650633432897312,-0.091041036,9709,1,-1.0369525,0.0,9709,3622.5355117321014,0.13991,-0.006648576
0.7680711,0.8694894,23.180843829340702,0.065760806,84998,0.01688,1.0,-6.56,-7.64349593495935,-1.7164729,-2.7886167,0.011789652689470818,3.3148375,3.2985234,0.764274,8.637906504065041,-0.050104782,9840,1,-1.0451031,0.0,9840,3666.7345082759857,0.03351,-0.0073377984
0.7830441,0.8636535,23.16960463613231,0.069416426,85998,0.01684,1.0,-5.69,-7.617564590426597,-1.7235849,-2.7915652,0.010562578408598384,3.3639643,3.3446548,0.76445967,8.612056879631485,-0.082749926,9986,1,-1.0427182,0.0,9986,3711.6731748580933,0.01185,-0.007337218
0.7773578,0.8731835,23.153948399554263,0.06446067,86998,0.01681,1.0,-6.76,-7.604883353103994,-1.6939371,-2.7954316,0.011175227120153548,3.365053,3.3386173,0.7646318,8.599446421510478,-0.06078786,10116,1,-1.0058801,0.0,10116,3757.3721120357513,0.17429,-0.0072300844
0.76063627,0.86867976,23.14632226573785,0.063782364,87998,0.01678,1.0,-6.52,-7.58595806923452,-1.6449218,-2.7985656,0.011326818474768179,3.3201203,3.3076203,0.76479936,8.580594831789371,-0.086865745,10255,1,-0.9371671,0.0,10255,3801.81347990036,0.06363,-0.0072904457
0.7908789,0.8725537,23.129208068376872,0.06396317,88998,0.01674,1.0,-5.02,-7.559111880046136,-1.6689279,-2.8034272,0.011017790130884376,3.3529272,3.3296077,0.76499355,8.553825451749328,-0.07374389,10404,1,-0.9771412,0.0,10404,3847.861964702606,0.01911,-0.007047206
