rollout/goal_tolerance,reference_actor_Q_mean,rollout/Q_mean,rollout/return,rollout/actions_mean,rollout/error,total/episodes,success rate,total/duration,train/loss_critic,rollout/episodes,reference_action_std,reference_Q_std,reference_actor_Q_std,reference_Q_mean,rollout/return_history,train/param_noise_distance,rollout/episode_steps,train/loss_actor,reference_action_mean,total/steps_per_second,errors,total/epochs,total/steps,rollout/actions_std
0.01929,-2.1155596,-2.083218,-13.987541528239202,-0.014950661,0.06624,1204,1.0,675.5198681354523,0.12937365,1204,0.8765602,2.584688,2.586115,-2.5021102,-5.78,0.0,14.94186046511628,1.658433,-0.0073049595,26.643183789216277,0.013645460422595825,1,17998,0.71609885
0.01926,-2.1590924,-2.1257923,-13.239341810022438,-0.012971639,0.02299,1337,1.0,718.6962926387787,0.121117294,1337,0.8662779,2.7066057,2.69698,-2.5539904,-6.52,0.0,14.198204936424832,1.6167336,-0.02521736,26.433975233469745,0.014254104967175945,1,18998,0.71963507
0.01922,-2.1089923,-2.163357,-12.458389261744966,-0.008376777,0.13739,1490,1.0,764.5861248970032,0.12277814,1490,0.8679352,2.8037016,2.7979722,-2.5304828,-5.61,0.0,13.421476510067114,1.5908668,-0.09364435,26.15532684783407,0.013072599954989978,1,19998,0.7233214
0.01918,-2.1595993,-2.2117004,-11.868501529051988,-0.005086238,0.03793,1635,1.0,808.6323149204254,0.11712601,1635,0.86684513,2.9193513,2.9377468,-2.5660725,-5.03,0.0,12.8348623853211,1.5421964,-0.041184176,25.96730258308603,0.013879900152892104,1,20998,0.7273398
0.01914,-2.1207376,-2.2509234,-11.360830527497194,-0.00053534604,0.06883,1782,1.0,852.9285314083099,0.11624922,1782,0.8723758,3.0009825,3.0141053,-2.5471504,-5.22,0.0,12.32996632996633,1.5290695,-0.059334517,25.791140980684606,0.012606384511831445,1,21998,0.7306611
0.0191,-2.1307366,-2.2935932,-11.016684045881126,-4.787777e-05,0.08908,1918,1.0,896.1951320171356,0.1212418,1918,0.8669746,3.1120977,3.1118217,-2.586903,-5.63,0.0,11.98800834202294,1.5316765,-0.041370578,25.661822050111592,0.014071216997008496,1,22998,0.73380893
0.01906,-2.1189423,-2.3173559,-10.76039119804401,-0.00017499892,0.19399,2045,1.0,940.4040312767029,0.11220631,2045,0.86670744,3.2017236,3.183976,-2.57613,-5.67,0.0,11.733007334963325,1.4564872,-0.08691115,25.5188187224379,0.013539660817474694,1,23998,0.7359039
0.01903,-2.118953,-2.3616686,-10.522539098436063,0.0014374555,0.10129,2174,1.0,985.8104288578033,0.108965866,2174,0.85969996,3.2931721,3.2812834,-2.5740318,-6.41,0.0,11.496780128794848,1.4741642,-0.092039205,25.357816541831085,0.012992756749711764,1,24998,0.7385709
0.01899,-2.1201453,-2.3970819,-10.168096054888508,0.0012177738,0.0207,2332,1.0,1030.8657140731812,0.10343297,2332,0.86359006,3.3381674,3.3166003,-2.587752,-5.86,0.0,11.144082332761577,1.4976974,-0.094533555,25.219579665013867,0.013292544870697538,1,25998,0.74096674
0.01895,-2.105695,-2.4063506,-9.930909090909092,0.00054846803,0.18429,2475,1.0,1075.4045090675354,0.11368531,2475,0.85794115,3.4345536,3.429807,-2.5578787,-5.98,0.0,10.908282828282829,1.4035828,-0.14132942,25.104971917413195,0.01360023073164713,1,26998,0.74223465
0.01891,-2.0881755,-2.423,-9.63619119878604,0.0009187286,0.05446,2636,1.0,1119.847578048706,0.092698395,2636,0.86557144,3.4961803,3.476146,-2.558209,-5.0,0.0,10.6149468892261,1.3823887,-0.06515061,25.00161678144226,0.012998377954998705,1,27998,0.7442265
