rollout/episodes,reference_actor_Q_std,rollout/return_history,reference_Q_mean,total/steps,total/steps_per_second,train/loss_critic,rollout/goal_tolerance,success rate,reference_actor_Q_mean,reference_Q_std,rollout/return,rollout/actions_std,rollout/actions_mean,rollout/Q_mean,reference_action_std,train/loss_actor,reference_action_mean,total/episodes,rollout/error,errors,train/param_noise_distance,rollout/episode_steps,total/duration,total/epochs
181041,2.6852946,-13.49,-2.9357975,2420998,24.191565566500426,0.10240576,0.001,1.0,-2.2276535,2.64633,-12.373871112068537,0.68693185,-0.0016768428,-3.6759133,0.8546073,1.8265967,-0.16916923,181041,0.15314,0.000682388197428757,0.0,13.372655917720296,100076.11923027039,1
181100,2.6892521,-14.47,-2.912676,2421998,24.19144313132548,0.053298723,0.001,1.0,-2.243578,2.6652603,-12.374986195472115,0.68691874,-0.0016749036,-3.6759884,0.8514904,1.8609805,-0.14337216,181100,0.03141,0.0006387005133061314,0.0,13.373771397018222,100117.96265530586,1
181155,2.6951902,-16.29,-2.9108615,2422998,24.19131171258488,0.05379314,0.001,0.99,-2.2201254,2.6645873,-12.376451105406971,0.6868898,-0.0016661173,-3.675792,0.85033596,1.8420956,-0.14617528,181155,0.057,0.0006799472563243851,0.0,13.375231155640197,100159.84369874,1
181214,2.7147515,-15.06,-2.8719203,2423998,24.191199899514814,0.063013144,0.001,1.0,-2.1841002,2.6879742,-12.377393578862561,0.6868707,-0.0016679072,-3.6758206,0.85141605,1.8200362,-0.13744217,181214,0.0323,0.0006597206475573327,0.0,13.376174026289359,100201.64398908615,1
181271,2.7089856,-15.92,-2.934466,2424998,24.190735881025855,0.053748704,0.001,0.99,-2.2441192,2.6721838,-12.378918856298029,0.6868406,-0.001664382,-3.675576,0.8542316,1.8358861,-0.119422235,181271,0.0102,0.0006716841678558814,0.0,13.377694170606441,100244.90416193008,1
181334,2.6989565,-15.37,-2.8740084,2425998,24.190313327648195,0.053090524,0.001,1.0,-2.1911821,2.6728797,-12.379851544663438,0.6868146,-0.0016747584,-3.6754827,0.85401744,1.850096,-0.14792037,181334,0.00084,0.0006750182679383396,0.0,13.378627284458513,100287.99408841133,1
181384,2.6970005,-16.69,-2.8735967,2426998,24.19001230449588,0.060277194,0.001,0.99,-2.193464,2.6656418,-12.381632338023199,0.68678516,-0.0016712665,-3.6758595,0.852022,1.7862209,-0.12763135,181384,0.01706,0.0014024761173050413,0.0,13.380402902130287,100330.58145856857,1
181447,2.722418,-17.1,-2.9049306,2427998,24.1900593634377,0.057050742,0.001,0.99,-2.2103593,2.6908283,-12.38251941338242,0.6867626,-0.0016627924,-3.6756673,0.852929,1.886402,-0.1254729,181447,0.12257,0.0014337274326428277,0.0,13.381290404360502,100371.72557210922,1
181515,2.7150269,-14.72,-2.9357958,2428998,24.189933797056725,0.0566324,0.001,1.0,-2.243175,2.6895018,-12.383015177808996,0.6867445,-0.0016691299,-3.675539,0.85006595,1.8293554,-0.13099442,181515,0.01036,0.0007091598427782945,0.0,13.381786629204198,100413.58609652519,1
181566,2.7166135,-15.83,-2.8861644,2429998,24.189797792852072,0.05207898,0.001,1.0,-2.1938996,2.686467,-12.38470859081546,0.68671983,-0.0016475864,-3.675421,0.8451294,1.8069721,-0.15276875,181566,0.09889,0.0006931462114767485,0.0,13.383480387297181,100455.49040174484,1
181613,2.708227,-18.47,-2.9054248,2430998,24.189502176216862,0.06419299,0.001,1.0,-2.203546,2.6790056,-12.38630494513058,0.68669397,-0.0016642427,-3.6757326,0.8479979,1.828324,-0.15553679,181613,0.00188,0.0006984694735720691,0.0,13.385077059461603,100498.05830192566,1
181660,2.7068944,-20.06,-2.8501477,2431998,24.189296167215822,0.053877246,0.001,0.98,-2.1645637,2.67623,-12.38883078278102,0.6866669,-0.0016569864,-3.6759775,0.84998226,1.843073,-0.13723864,181660,0.05788,0.0007617438606600151,0.0,13.38759220521854,100540.25479650497,1
181719,2.7318687,-17.38,-2.8428488,2432998,24.189212614362425,0.052369002,0.001,0.99,-2.1725798,2.7084699,-12.3899207017428,0.6866501,-0.0016761416,-3.6759732,0.85167557,1.8615706,-0.1321249,181719,0.00489,0.0007401440551180351,0.0,13.388682526318107,100581.94281840324,1
181775,2.703681,-15.64,-2.8845804,2433998,24.18668003455946,0.056482278,0.001,0.99,-2.2289066,2.6840522,-12.391296933021593,0.6866204,-0.0016511044,-3.6760685,0.84645915,1.8695331,-0.13964184,181775,0.00155,0.0009991918689247815,0.0,13.390053637738964,100633.81979346275,1
181831,2.7055013,-17.27,-2.8920093,2434998,24.18667584032523,0.052676406,0.001,0.99,-2.21629,2.6743808,-12.39275481078584,0.68659395,-0.0016416652,-3.675982,0.8498294,1.8572817,-0.12985288,181831,0.00228,0.0010218983454757709,0.0,13.391511898411162,100675.18232250214,1
181888,2.7262785,-16.73,-2.8827999,2435998,24.18652054526252,0.06004163,0.001,1.0,-2.2206502,2.7061477,-12.393951222730472,0.6865729,-0.0016417769,-3.6758304,0.8446992,1.9274225,-0.15845828,181888,0.00226,0.000681751053578508,0.0,13.392708699859254,100717.17407393456,1
181949,2.7272744,-15.68,-2.9161851,2436998,24.18618842640041,0.060239404,0.001,1.0,-2.2240055,2.6869755,-12.394846907649946,0.68655825,-0.0016531263,-3.6758323,0.8510908,1.8549323,-0.120584786,181949,0.03654,0.0006792590883296115,0.0,13.393604801345433,100759.90300893784,1
181992,2.7153637,-16.88,-2.886331,2437998,24.185829854980383,0.074077524,0.001,0.99,-2.189982,2.6884215,-12.396709745483317,0.68652254,-0.0016231681,-3.6758995,0.8452497,1.9039617,-0.14275232,181992,0.0037,0.000706446422881262,0.0,13.395462437909359,100802.74336743355,1
182041,2.7175505,-20.95,-2.847825,2438998,24.185817480246094,0.05424852,0.001,0.99,-2.1702313,2.6894164,-12.39919029229679,0.6864961,-0.001628791,-3.6758454,0.85132843,1.7825414,-0.1370948,182041,0.00245,0.0007001566450412544,0.0,13.397943320460776,100844.14148879051,1
182093,2.7415311,-18.54,-2.882353,2439998,24.18562849803533,0.075082056,0.001,1.0,-2.193421,2.7082393,-12.400784214659542,0.6864653,-0.0016191851,-3.6756992,0.8474958,1.8494798,-0.13940047,182093,0.0018,0.0006844049349967437,0.0,13.399537598919233,100886.27633547783,1
182141,2.7211013,-19.07,-2.9158907,2440998,24.185269392809538,0.051880106,0.001,0.99,-2.22913,2.6827447,-12.402852734969063,0.68643755,-0.0015834251,-3.6755567,0.8475468,1.888704,-0.14392489,182141,0.03803,0.0007415567198317179,0.0,13.401600957499959,100929.12178707123,1
182199,2.7430255,-18.07,-2.8339634,2441998,24.185080364923355,0.065921895,0.001,0.99,-2.1560802,2.7097263,-12.404167970186444,0.68641824,-0.001574121,-3.6754854,0.8521564,1.91264,-0.13582487,182199,0.19343,0.0007232517808370796,0.0,13.402916591199732,100971.25844335556,1
182266,2.7133763,-14.95,-2.8707337,2442998,24.184807755245906,0.055802733,0.001,1.0,-2.1748886,2.678587,-12.404628400250184,0.6864111,-0.0015846592,-3.6755793,0.84722203,1.8798227,-0.16857994,182266,0.00194,0.0006887080651469187,0.0,13.403377481263648,101013.74485683441,1
182322,2.7142246,-15.45,-2.8289366,2443998,24.18455566186754,0.07477951,0.001,1.0,-2.1261253,2.6923504,-12.40604534833975,0.68639237,-0.00159298,-3.6754997,0.8442751,1.851962,-0.15259002,182322,0.00239,0.0006584916843078829,0.0,13.404794813571593,101056.14649987221,1
182374,2.747216,-17.7,-2.8985229,2444998,24.184153908339038,0.053741068,0.001,1.0,-2.2050638,2.7034316,-12.40763486023227,0.6863695,-0.0015902816,-3.6754653,0.8476958,1.8632178,-0.14622805,182374,0.0467,0.0006521648825944753,0.0,13.406384682027044,101099.17466068268,1
182425,2.749343,-17.58,-2.8561735,2445998,24.18398262763244,0.061154585,0.001,1.0,-2.1573482,2.718097,-12.40923667260518,0.6863301,-0.001581378,-3.6752532,0.8503124,1.8763192,-0.13761196,182425,0.0055,0.0006833624773521651,0.0,13.407986843908455,101141.24036812782,1
182486,2.7712908,-16.88,-2.8538322,2446998,24.183507639061776,0.059155125,0.001,1.0,-2.170282,2.728159,-12.410469844262025,0.6863164,-0.001590231,-3.675259,0.84560907,1.8971622,-0.1548755,182486,0.16013,0.0007125921577576864,0.0,13.409220433348311,101184.57737898827,1
182548,2.74499,-14.47,-2.8403006,2447998,24.18323170170415,0.056242023,0.001,1.0,-2.1367033,2.7079058,-12.411343865722987,0.68629754,-0.0015921043,-3.675122,0.84574556,1.8990264,-0.15095906,182548,0.01559,0.0006975270023782334,0.0,13.410094879155071,101227.08288931847,1
182604,2.7498653,-15.65,-2.8445184,2448998,24.182959377568444,0.05197609,0.001,1.0,-2.1581774,2.711213,-12.412712755470855,0.68626744,-0.001587687,-3.6749156,0.8452817,1.8931801,-0.15380223,182604,0.03037,0.0007196132830456107,0.0,13.411464151935336,101269.57423877716,1
182653,2.7604182,-17.98,-2.8773584,2449998,24.182817519570854,0.057465523,0.001,1.0,-2.1977649,2.7310832,-12.41466058591975,0.68623894,-0.0015932908,-3.674771,0.8464087,1.883784,-0.16416983,182653,0.00086,0.0006653911689052193,0.0,13.41341231734491,101311.51996731758,1
182706,2.7590282,-18.58,-2.8778703,2450998,24.18257690676038,0.058258258,0.001,1.0,-2.193464,2.7252562,-12.41611660262936,0.6862123,-0.0015986508,-3.6746776,0.84853315,1.847961,-0.1205451,182706,0.00139,0.0006521134182825268,0.0,13.414868696156667,101353.8800868988,1
182762,2.7480383,-17.08,-2.8681412,2451998,24.182339058126082,0.05848111,0.001,1.0,-2.1901462,2.7159371,-12.417564920497696,0.68618774,-0.0016146285,-3.6745505,0.846206,1.8925136,-0.1465456,182762,0.10833,0.0006904204482916888,0.0,13.416317396395312,101396.22945928574,1
182821,2.7629495,-15.79,-2.8068562,2452998,24.18207188069046,0.055086847,0.001,1.0,-2.1062455,2.727163,-12.41872104408137,0.686162,-0.0015992171,-3.6745317,0.8449979,1.911704,-0.14583987,182821,0.00125,0.0006958826458888942,0.0,13.41747392258001,101438.70269274712,1
182873,2.779321,-17.28,-2.8696027,2453998,24.18172556196572,0.06712451,0.001,1.0,-2.1791277,2.7428184,-12.420368233692235,0.68614244,-0.0015953262,-3.6745942,0.8450553,1.8509474,-0.13609268,182873,0.00318,0.0006953274687100288,0.0,13.4191214668103,101481.50898957253,1
182928,2.7489605,-17.84,-2.88676,2454998,24.18137659188364,0.05508964,0.001,0.99,-2.1870966,2.707502,-12.421734234234235,0.68611646,-0.001605979,-3.6745038,0.84606296,1.8879284,-0.1590314,182928,0.00161,0.001357533955481148,0.0,13.420482375579462,101524.32764410973,1
182988,2.7662334,-15.81,-2.8398902,2455998,24.181183589932072,0.05473353,0.001,1.0,-2.1380453,2.720112,-12.42286379434717,0.68609947,-0.0015912622,-3.6746218,0.84589076,1.8895961,-0.1627361,182988,0.01859,0.0006791952392538003,0.0,13.421612346164776,101566.49242854118,1
