,desired_goal_x,desired_goal_y,desired_goal_z,achieved_goal_x,achieved_goal_y,achieved_goal_z,episode_length,starting_position_x,starting_position_y,starting_position_z,B_desired_1,B_desired_2,B_desired_3,B_achieved_1,B_achieved_2,B_achieved_3,B_starting_1,B_starting_2,B_starting_3,alpha_desired_1,alpha_desired_2,alpha_desired_3,alpha_achieved_1,alpha_achieved_2,alpha_achieved_3,alpha_starting_1,alpha_starting_2,alpha_starting_3,system_id
848,0.06000400485707455,-0.04990049736448039,0.15391659349504008,0.06020335940444422,-0.05005508934629837,0.15348225577925723,4.0,-0.019590504104491303,-0.003968229734361423,0.13198241251113033,-0.1277647763490677,-0.11544439196586609,-0.11187375336885452,-0.13081946969032288,-0.11945417523384094,-0.08562319725751877,-0.168535053730011,-0.15603609383106232,-0.1227986142039299,-1.7113778591156006,1.6188818216323853,0.14285078644752502,-0.41996365785598755,-4.13820219039917,0.4547826051712036,-2.2087621688842773,-1.6315197944641113,1.068293571472168,2.0
849,0.04042676699002103,-0.056957451586574434,0.18233260204438637,0.040337326404662595,-0.05764423991128048,0.18220482902011692,11.0,0.00227030046233015,-0.013425051270587324,0.09007965159059356,-0.1054135262966156,-0.09050985425710678,-0.061694689095020294,-0.10918961465358734,-0.10184718668460846,-0.07506190240383148,-0.215781569480896,-0.18538793921470642,-0.13850532472133636,-0.923660159111023,-1.999475121498108,0.9010186195373535,-0.6593636274337769,2.8616385459899902,0.40229856967926025,1.2724601030349731,0.7596349716186523,-1.725795030593872,2.0
850,0.040296247516363515,-0.014613118521324466,0.08588887684745987,0.04048729113816359,-0.014262799097484688,0.08601542121004996,17.0,0.12971040949173962,0.09066837421829708,0.18345844188530325,-0.2097858190536499,-0.18380339443683624,-0.13971129059791565,-0.20863884687423706,-0.17869088053703308,-0.12950792908668518,-0.044672347605228424,-0.04003243148326874,-0.0033039983827620745,3.0050272941589355,1.2361407279968262,0.8879205584526062,-4.977421283721924,-4.580026149749756,0.5920933485031128,-2.1883468627929688,-2.2317166328430176,1.915313959121704,2.0
851,-0.027220419389631677,0.07308086214577328,0.14032341149233915,-0.026746210026485355,0.07270340650830757,0.13991578000815658,6.0,-0.022864511880102814,-0.021847825138532673,0.11278429377756685,-0.13107165694236755,-0.11370145529508591,-0.10261454433202744,-0.14105679094791412,-0.12680068612098694,-0.09857763350009918,-0.18797071278095245,-0.18205970525741577,-0.15306192636489868,-2.1708898544311523,-2.072831869125366,2.5199313163757324,0.16447964310646057,-3.429556369781494,4.046455383300781,0.7649974226951599,-0.9954959154129028,2.8262360095977783,2.0
852,-0.01023651834710924,-0.007493481643082438,0.11713160104880507,-0.010600794328760573,-0.007715509719928874,0.11698019364375044,7.0,-0.08996043592476531,-0.031238789598188325,0.14684387060111487,-0.18908250331878662,-0.16321347653865814,-0.1252947300672531,-0.18932437896728516,-0.16682681441307068,-0.1108655110001564,-0.12708818912506104,-0.11908458173274994,-0.05063881725072861,1.8062649965286255,-2.1343393325805664,0.2887732684612274,0.30592793226242065,-5.150992393493652,-1.7793738842010498,-0.2738993465900421,-2.8180878162384033,-1.0631897449493408,2.0
853,-0.02732410724949219,-0.1243668351347577,0.1697643521549915,-0.027093408027162667,-0.12470589216929082,0.1694484855546954,3.0,0.07185670977615469,-0.13044470056783095,0.12552815280856144,-0.07187426090240479,-0.05374214053153992,-0.045340340584516525,-0.0829702615737915,-0.0667988732457161,-0.05379893258213997,-0.0876791775226593,-0.06580571085214615,-0.057484399527311325,1.155664324760437,1.0430238246917725,-0.7330414056777954,-1.7102210521697998,1.1480053663253784,-0.5467362403869629,-2.960547685623169,0.30915287137031555,0.5986586809158325,2.0
854,0.05815096921799579,0.07706578402991396,0.10807177988798239,0.057429491493225675,0.07773402955872681,0.10802350977276634,6.0,0.03213432397336715,0.04951693185405605,0.08846383073811795,-0.15075677633285522,-0.14005248248577118,-0.09430993348360062,-0.15070077776908875,-0.13749220967292786,-0.10038993507623672,-0.19601431488990784,-0.19321003556251526,-0.10818726569414139,1.9433423280715942,2.9011642932891846,2.2693588733673096,1.5054875612258911,2.52728271484375,2.6927578449249268,2.4408247470855713,3.096280574798584,2.322918176651001,2.0
855,-0.015245429341999602,0.03560321583228907,0.1499009980873544,-0.014943551685121743,0.035169137617082076,0.15019979704609412,4.0,0.01963876509583755,0.036362159005636704,0.1805778470434503,-0.15185046195983887,-0.1251579225063324,-0.09791525453329086,-0.15060865879058838,-0.1313168853521347,-0.08330264687538147,-0.11990854144096375,-0.11497486382722855,-0.09348826110363007,-2.4931552410125732,0.7791282534599304,-2.5856752395629883,-1.334877848625183,-0.031381845474243164,3.24484920501709,-3.0154643058776855,-0.6470988988876343,2.435584783554077,2.0
856,0.10534054944803305,-0.02235150009793421,0.12000503803295019,0.10524677656427013,-0.02257531832607757,0.12004501992973685,7.0,0.03295147739719279,-0.012601087371174477,0.10125791860266724,-0.13322362303733826,-0.12174547463655472,-0.03981949761509895,-0.13355310261249542,-0.1209384948015213,-0.11126828193664551,-0.19988979399204254,-0.1862609088420868,-0.11673149466514587,-1.1017738580703735,0.9594464302062988,1.505568504333496,-0.07301011681556702,1.607905626296997,1.2237558364868164,1.5411159992218018,-0.17558106780052185,1.8002197742462158,2.0
857,0.024090993175678525,0.05466841970718748,0.09369247735007796,0.024033440169426736,0.055197082532020776,0.09299798407339942,7.0,-0.028192993560130837,0.002845801420441116,0.108858175620346,-0.19089193642139435,-0.17626914381980896,-0.16400152444839478,-0.19223450124263763,-0.16264869272708893,-0.11034902930259705,-0.19458679854869843,-0.17551256716251373,-0.13207007944583893,1.9770209789276123,2.842290163040161,-2.070523500442505,-4.911432266235352,-3.674464225769043,-3.272280693054199,-2.615358829498291,-0.5612348914146423,-2.7196907997131348,2.0
858,-0.03390121639851497,0.1380642208153509,0.19223099539980895,-0.03353965375045357,0.13825724237729217,0.19166287566196274,19.0,0.009735576565855959,-0.025600314872025735,0.07112248260634088,-0.0511905811727047,-0.03763587027788162,-0.01681925356388092,-0.056320324540138245,-0.050669923424720764,-0.030967341735959053,-0.23040395975112915,-0.22727712988853455,-0.16933800280094147,-1.3611201047897339,-0.6122705340385437,3.1224801540374756,-0.5448673963546753,1.626451849937439,3.633791208267212,-0.25879546999931335,0.666582465171814,2.912553071975708,2.0
