reference_action_std,rollout/actions_std,reference_actor_Q_mean,rollout/episodes,total/steps_per_second,rollout/return,total/duration,total/epochs,rollout/episode_steps,rollout/return_history,train/loss_actor,train/param_noise_distance,rollout/error,reference_actor_Q_std,rollout/actions_mean,train/loss_critic,reference_Q_mean,success rate,rollout/Q_mean,errors,reference_action_mean,total/steps,reference_Q_std,total/episodes,rollout/goal_tolerance
0.6114122,0.48374313,-0.81465435,9,30.225578441243357,-97.77777777777777,33.01839208602905,1,98.22222222222223,-97.77777777777777,0.8332088,0.0,0.18279,0.25026718,0.047009625,0.08925064,-0.8957647,0.4444444444444444,-0.6474644,0.09715066779700601,0.030082097,998,0.2455792,9,0.01996
0.76307213,0.54746926,-0.9267494,20,30.414310500625824,-98.0,65.69275999069214,1,98.45,-98.0,0.94518715,0.0,0.10041,0.3081211,0.026571197,0.09251006,-1.0086594,0.45,-0.7769022,0.09277483613261978,0.122236826,1998,0.30932185,20,0.01992
0.6346695,0.550832,-1.0963848,30,30.31807187596292,-95.2,98.88491630554199,1,95.66666666666667,-95.2,1.0885619,0.0,0.1266,0.39586237,0.016534142,0.08589137,-1.1612089,0.4666666666666667,-0.8525718,0.07983643906986636,0.2182312,2998,0.39869136,30,0.01988
0.65052825,0.54866415,-1.2810326,39,29.858102030595298,-100.71794871794872,133.90000462532043,1,101.12820512820512,-100.71794871794872,1.2398168,0.0,0.10679,0.5395178,0.018877227,0.07691698,-1.35578,0.41025641025641024,-0.90626967,0.08595567315986664,-0.012562503,3998,0.54214215,39,0.01984
0.7022191,0.5445579,-1.452261,47,29.879073183213436,-103.29787234042553,167.27426481246948,1,103.68085106382979,-103.29787234042553,1.4453502,0.0,0.10775,0.67975616,0.021817826,0.08192238,-1.5553863,0.3829787234042553,-1.0329264,0.08717785907922793,0.10021486,4998,0.6856959,47,0.0198
0.7137393,0.55165386,-1.6206273,57,29.823221314892567,-104.59649122807018,201.11844849586487,1,104.96491228070175,-104.59649122807018,1.6186361,0.0,0.18292,0.7973947,0.034484945,0.07792283,-1.7410228,0.3684210526315789,-1.1854914,0.09249712626067928,0.1312325,5998,0.811194,57,0.01976
0.69892937,0.56010324,-1.7659065,67,29.6936550899005,-102.98507462686567,235.67324328422546,1,103.35820895522389,-102.98507462686567,1.761023,0.0,0.18212,0.9754575,0.039545912,0.07710313,-1.942179,0.373134328358209,-1.3194182,0.09180697443223262,0.13591628,6998,0.97801465,67,0.01972
0.7285659,0.5658064,-1.9648654,80,29.64146838501852,-98.85,269.82468938827515,1,99.25,-98.85,1.9143683,0.0,0.06234,1.1110067,0.03280883,0.08931631,-2.17313,0.4,-1.4249973,0.08476503865026679,0.05104729,7998,1.1280519,80,0.01968
0.76655537,0.5761269,-2.0988538,98,29.577344663480613,-90.25510204081633,304.2193307876587,1,90.71428571428571,-90.25510204081633,2.0271935,0.0,0.07644,1.2044959,0.026073327,0.09847712,-2.35039,0.45918367346938777,-1.5517648,0.0765288852243115,0.046822835,8998,1.2142904,98,0.01964
0.78288734,0.5810444,-2.1816225,134,29.48200292886431,-74.02985074626865,339.12214255332947,1,74.6044776119403,-67.42,2.051928,0.0,0.04772,1.348143,0.021426912,0.11142358,-2.4842787,0.61,-1.6175048,0.05535703051096153,-0.038833622,9998,1.3584821,134,0.0196
0.79929024,0.5877847,-2.2705083,184,29.302645393790726,-58.97826086956522,375.32447504997253,1,59.65760869565217,-26.11,2.069891,0.0,0.09311,1.4407412,0.027472619,0.13107121,-2.6331937,0.91,-1.6755185,0.02007705397390198,-0.065754555,10998,1.4445375,184,0.01957
0.8154853,0.59599394,-2.361231,230,29.12796037989907,-51.40869565217391,411.9066300392151,1,52.13913043478261,-19.46,2.0603998,0.0,0.0797,1.5160244,0.029079143,0.14051084,-2.729557,0.95,-1.7446408,0.017068401107136266,-0.04893987,11998,1.5354105,230,0.01953
0.82176816,0.6041518,-2.382429,280,28.905376282500377,-45.607142857142854,449.67413234710693,1,46.378571428571426,-19.25,2.0734322,0.0,0.03544,1.6881284,0.028400265,0.14664194,-2.794912,0.95,-1.8281322,0.017753685688013696,0.003420338,12998,1.6801429,280,0.01949
0.8320129,0.609416,-2.3784523,320,28.694921066822353,-42.94375,487.821519613266,1,43.734375,-20.69,2.0163217,0.0,0.03856,1.7571739,0.02909332,0.17269382,-2.8123744,0.95,-1.901741,0.018274080373638136,-0.026436767,13998,1.7941076,320,0.01945
0.84466624,0.6172999,-2.3634596,391,28.479376730198858,-37.51150895140665,526.6266934871674,1,38.33503836317136,-16.16,1.9669915,0.0,0.11945,1.844602,0.029134955,0.17507303,-2.8546975,0.96,-1.9357011,0.015920288464958906,-0.030139754,14998,1.8688681,391,0.01941
0.85201156,0.6251666,-2.3142903,477,28.2349256653438,-32.62264150943396,566.6032271385193,1,33.475890985324945,-10.16,1.952556,0.0,0.05662,1.9236388,0.02920657,0.17619891,-2.83846,0.99,-1.9919912,0.014782179704863086,-0.028291166,15998,1.9430585,477,0.01937
0.8487076,0.6319827,-2.365204,542,28.034830406481692,-30.457564575645755,606.3172044754028,1,31.324723247232473,-13.82,1.9165893,0.0,0.0194,2.0127146,0.025001947,0.18121058,-2.926577,0.97,-2.036345,0.015998956474249253,-0.07067152,16998,2.0388086,542,0.01933
0.8638901,0.64004874,-2.3434007,644,27.829961956772692,-27.0527950310559,646.7130651473999,1,27.940993788819874,-8.87,1.88069,0.0,0.05537,2.0592825,0.025236977,0.1851514,-2.909225,1.0,-2.0829825,0.014432222309374269,-0.07552269,17998,2.0878987,644,0.01929
0.86617035,0.6482632,-2.3562465,744,27.662638051859407,-24.63037634408602,686.774701833725,1,25.533602150537636,-9.03,1.8818383,0.0,0.03418,2.1494708,0.02220294,0.19895542,-2.9490037,1.0,-2.1309893,0.014255778556724831,0.011456353,18998,2.1844852,744,0.01926
