reference_action_mean,train/loss_actor,reference_Q_std,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/episode_steps,total/steps_per_second,rollout/actions_mean,rollout/return,total/epochs,rollout/episodes,reference_actor_Q_mean,errors,train/param_noise_distance,reference_action_std,total/duration,rollout/error,success rate,rollout/goal_tolerance,total/steps,train/loss_critic,rollout/actions_std,reference_actor_Q_std,rollout/return_history
-0.05842335,1.5323918,1.3329197,-2.2831156,579,-3.1035812,31.0846286701209,28.371702351882014,0.008845841,-30.21070811744387,1,579,-2.376669,0.017426844268561285,0.0,0.8981412,634.3644726276398,0.16769,0.97,0.01929,17998,0.13817312,0.6601743,1.514925,-13.55
-0.024049958,1.5145531,1.4262137,-2.3403416,648,-3.0609488,29.308641975308642,28.213973189959795,0.01389088,-28.424382716049383,1,648,-2.2934456,0.01874421302954988,0.0,0.9036324,673.3542940616608,0.07359,0.96,0.01926,18998,0.14610337,0.6684899,1.5921701,-15.12
-0.02017779,1.5326738,1.5144808,-2.3734505,748,-3.0191426,26.737967914438503,28.025680763716704,0.013929081,-25.83823529411765,1,748,-2.2388582,0.013436281160004336,0.0,0.9022571,713.5598299503326,0.00569,1.0,0.01922,19998,0.14572902,0.6754675,1.6825876,-9.08
-0.050086457,1.5028948,1.5797119,-2.4077523,836,-3.0663853,25.114832535885167,27.890462910684,0.011294123,-24.204545454545453,1,836,-2.2841651,0.013946860341785019,0.0,0.8999368,752.8738431930542,0.04152,1.0,0.01918,20998,0.13775943,0.68132544,1.7051538,-10.4
-0.035214394,1.4917047,1.6756047,-2.4313564,933,-3.007541,23.577706323687032,27.76917036338171,0.012462615,-22.659163987138264,1,933,-2.1993942,0.014230414631847823,0.0,0.9024198,792.1734683513641,0.10784,0.99,0.01914,21998,0.13717455,0.6862629,1.7821051,-9.19
-0.03884375,1.4435678,1.7548542,-2.4658182,1024,-3.0221353,22.4423828125,27.644225249061964,0.010320272,-21.5166015625,1,1024,-2.1893816,0.014461459678093518,0.0,0.9032768,831.9278182983398,0.06264,1.0,0.0191,22998,0.15032384,0.6907588,1.8650693,-9.44
-0.058751147,1.4540263,1.8327619,-2.5142703,1115,-2.992882,21.51121076233184,27.536147372972593,0.0106963115,-20.580269058295965,1,1115,-2.1579826,0.015008867647421615,0.0,0.9037036,871.5089905261993,0.12637,0.99,0.01906,23998,0.13420567,0.69570154,1.9441186,-10.37
-0.07341365,1.4452314,1.8956691,-2.545004,1209,-2.9528165,20.66832092638544,27.434100786615346,0.01112173,-19.732009925558312,1,1209,-2.1178923,0.01359751845733483,0.0,0.9010496,911.201726436615,0.05581,1.0,0.01903,24998,0.13043386,0.70021904,2.0016687,-9.66
-0.038825665,1.4364825,1.9556212,-2.5975792,1294,-2.9267673,20.086553323029367,27.342009871097677,0.011182523,-19.146058732612055,1,1294,-2.0926266,0.013460630265292714,0.0,0.90576375,950.8445107936859,0.25437,1.0,0.01899,25998,0.13048112,0.7042374,2.080843,-10.83
-0.046093088,1.3766603,2.0125363,-2.6153195,1384,-2.928404,19.50794797687861,27.253273986888416,0.010707584,-18.563583815028903,1,1384,-2.1011658,0.01289884523409138,0.0,0.90442634,990.6332726478577,0.14212,1.0,0.01895,26998,0.11840811,0.70753264,2.1265779,-9.88
-0.058661103,1.3726721,2.0630624,-2.6258047,1496,-2.84461,18.71590909090909,27.165217298137915,0.009388373,-17.767379679144383,1,1496,-2.03503,0.013628328147106064,0.0,0.9027966,1030.6562135219574,0.06162,1.0,0.01891,27998,0.12286241,0.7107438,2.1687248,-7.63
-0.08104242,1.3812718,2.0865734,-2.6574361,1599,-2.843766,18.131957473420886,27.058088434099783,0.008544809,-17.180112570356474,1,1599,-2.0247478,0.013988934963051987,0.0,0.9048074,1071.6943316459656,0.04066,1.0,0.01887,28998,0.12665267,0.7139876,2.203739,-8.86
-0.05372992,1.3524855,2.1358566,-2.6783159,1702,-2.8124971,17.593419506462986,26.982145737665626,0.0086698,-16.638660399529964,1,1702,-1.9926349,0.013251201477812393,0.0,0.9050661,1111.7722175121307,0.02655,1.0,0.01884,29998,0.11253463,0.7170625,2.2398849,-8.39
-0.06116752,1.3190733,2.149176,-2.6985712,1796,-2.7595296,17.25890868596882,26.891703807988364,0.0073484187,-16.302338530066816,1,1796,-1.9441459,0.014080372656220006,0.0,0.90379053,1152.6975092887878,0.08462,0.99,0.0188,30998,0.116766475,0.7197502,2.2304616,-9.86
-0.055325642,1.2772378,2.224251,-2.7115161,1875,-2.7874055,17.064533333333333,26.826325923075366,0.005540928,-16.106666666666666,1,1875,-1.9742067,0.013300063154624365,0.0,0.9035452,1192.7835400104523,0.09334,0.99,0.01876,31998,0.11944727,0.72175366,2.3184783,-11.5
-0.028719015,1.2946496,2.2307165,-2.7314348,1952,-2.7430015,16.89702868852459,26.774199023099886,0.0047184518,-15.938012295081966,1,1952,-1.9263775,0.013688828883950758,0.0,0.9065192,1232.4551696777344,0.14434,0.99,0.01872,32998,0.12215038,0.723501,2.3104045,-11.17
-0.06123662,1.3029419,2.2369237,-2.7594223,2048,-2.736135,16.5986328125,26.729523149539837,0.0037645951,-15.6376953125,1,2048,-1.9130378,0.01349467518434665,0.0,0.9042054,1271.9269180297852,0.09246,1.0,0.01869,33998,0.106980234,0.72572696,2.313936,-9.74
-0.087345935,1.2455816,2.251741,-2.7826512,2152,-2.69243,16.257434944237918,26.6621061121933,0.003459776,-15.29460966542751,1,2152,-1.886602,0.013158780343643522,0.0,0.89820325,1312.6494903564453,0.02298,1.0,0.01865,34998,0.10818872,0.7278563,2.3065562,-8.46
-0.042825174,1.2185369,2.2801113,-2.807214,2247,-2.7344065,16.020026702269693,26.595428959617106,0.003721346,-15.055629728526926,1,2247,-1.9178019,0.012983733621923357,0.0,0.90380174,1353.5408680438995,0.03647,1.0,0.01861,35998,0.10017251,0.72997415,2.335627,-9.67
-0.028928487,1.225664,2.2723255,-2.8333857,2342,-2.6992917,15.795046968403074,26.54759726226708,0.004471601,-14.829205807002563,1,2342,-1.8863869,0.01271761957843809,0.0,0.89844596,1393.647780418396,0.14609,1.0,0.01858,36998,0.11835137,0.7319233,2.3142369,-9.38
-0.0473914,1.275168,2.290104,-2.8607233,2446,-2.6710987,15.53147996729354,26.498635118596823,0.0034874626,-14.564186426819298,1,2446,-1.8720887,0.01343323539466583,0.0,0.89746,1433.9606485366821,0.15787,1.0,0.01854,37998,0.09731614,0.7339335,2.323416,-8.45
-0.026469583,1.2043252,2.2972736,-2.8768559,2546,-2.6286662,15.318146111547525,26.44343805316533,0.0034985784,-14.349567949725058,1,2546,-1.8100822,0.01296445532397771,0.0,0.89385384,1474.7704107761383,0.01336,1.0,0.0185,38998,0.1121572,0.73541147,2.3201778,-9.1
-0.0031032537,1.166534,2.3048275,-2.900967,2636,-2.6658006,15.166160849772382,26.40039902204495,0.002688929,-14.196509863429439,1,2636,-1.8676744,0.012496691732458992,0.0,0.895792,1515.0528583526611,0.02791,1.0,0.01846,39998,0.09924844,0.736818,2.3397453,-9.65
-0.047362622,1.231786,2.2969584,-2.9228916,2738,-2.632673,14.972972972972974,26.351495397463285,0.002265078,-14.002191380569759,1,2738,-1.8226676,0.013461120166141937,0.0,0.88889384,1555.8130338191986,0.09781,1.0,0.01843,40998,0.09281182,0.738263,2.3220541,-8.8
