#{"t_start": 1646302452.8330863, "env_id": "CTR-Generic-Reach-v0"}
r,l,t-150.0,150,6.606226-150.0,150,12.259465
-150.0,150,16.013046
-150.0,150,21.91891
-131.0,132,25.599013
-150.0,150,30.333101
-18-150.0,150,33.139--150--150.0,150,37.3--150.0-150.0,150,42.9-150-1-150.0,150,47.11-150-1-150.0,150,52.92-150-150.0,150,55.385--150.0,150,58.5717--1--1-150.0,150,62.705-1--150.0,150,68.7269-15-15-150.0,150,72.8202--15-150.0,150,77.2038--1-138.0,139,81.93150--150.0,150,85.756451
-150.0,150,86.1-15-150-150.0,150,92.1-15-150-150.0,150,96.-150-150-150.0,150,101-150-150.-150.0,150,105-150-150.-150.0,150,111-150-150.-150.0,150,114.424-150.-150.0,150,120.892-150.-150.0,150,125.237-150.-150.0,150,130.487-150.-150.0,150,134.500-150.-150.0,150,140.706-150.-150.0,150,145.03365
-150.0,150,150.833841
-150.0,150,155.269612
0.0,1,155.411188
-150.0,150,160.854781
-150.0,150,164.37511
-150.0,150,170.44827
-150.0,150,174.377412
-150.0,150,179.570508
-150.0,150,183.433571
-13.0,14,183.778293
-2.0,3,186.068352-150.0,150,186.911562-150.0,150,190.590758
-150.0,150,196.104516
-24.0,25,196.531839-150.0,150,19-150.0,-15-150.0,150,20-15-150.0,150,206.216122
--150.0,150,209.165941
-37.0,38,209.8-150.0,-150.0,150,215.1-150.0,-150.0,150,218.6-150.0,-79.0,80,2-150.0-150.0,150,226.289726
-1.0-11.0,12,228.43-150.0,150,232.023672
-150.0,150,235.731287
0.0,-150.0,150,238-150.0,15-150.0,150,242-32.0,33,-6.0,7,242.5-43.0,44,243.221339
-150.0,150,248.334789
-6.-150.0,150,251.8-150.0,-150.0,150,257.8-150.0,-2.0,3,258.01512-150.0,150,261.839208
-7.0,8,264.097471
-150.0,150,268.338513
-28.0,29,26-150.0,150-90.0,91,272-5.0,6,27-51.0,52,2-150.0,150,277.84638
-5.0,6,278-78.0,79,-150.0,150,281.867641
0.0,1,282.005391
-6.0,7,282.228774
-28.0,29,284-88.0,89,-86.0,87,28-150.0,150-150.0,150,29-150.0,150-124.0,125,295.212212
-12.0,13-150.0,150-150.0,150,301.477392
-150.0,150,305.261546
-4.0,5,3-123.0,124,308.992301
-11.0,-150.0,150,311.-150.0,1-150.0,150,315.-150.0-150.0,150,321.066468
-112.0,113,324.-150.0,1-150.0,150,328.-150.0,1-32.0,33,331.06-150.-150.0,150,335.429-150.-150.0,150,341.133462
-150.0,150,345.316418
-2.0,3,345.47747
-25.0,26,347.488445
-5.0,6,347.697543
-30.0,31,348.436297
-150.0,150,352.650109
0.0,1,352.78416
-150.0,150,359.418668
-2.0,3,359.583776
-150.0,150,363.151796
-42.0,43,366.254238
-29.0,30,366.96-150.0,150,369.974775
-4.0,5,370.137788
-150.0,150,376.077374
-4.0,5,376.257979
-150.0,150,380.847696
-1.0,2,381.007573
-1.0,2,381.108112
-150.0,150,386.764423
-13.0,14,387.160284
-150.0,150,391.86032
-10.0,11,392.138355
-150.0,150,397.848015
0.0,1,397.958042
-7.0,8,398.180788
-150.0,150,404.310811
-8.0,9,404.604293
-32.0,33,405.42009
-14.0,15,405.776198
-76.0,77,408.577748
-5.0,6,408.7493
-11.0,12,409.081445
-150.0,150,414.898963
-12.0,13,415.181251
-150.0,150,419.779104
-142.0,143,425.785293
-150.0,150,430.507026
-29.0,30,431.138284
-22.0,23,432.971153
-150.0,150,437.476765
-26.0,27,438.072966
0.0,1,438.174926
-150.0,150,443.798389
-150.0,150,447.544507
-8.0,9,450.159918
-150.0,150,454.673186
-8.0,9,454.938174
-150.0,150,461.098384
-5.0,6,461.314597
-150.0,150,465.423752
-8.0,9,465.741692
0.0,1,465.840564
-150.0,150,472.336467
-14.0,15,472.7209
-54.0,55,473.630926
-150.0,150,479.689029
