total/steps_per_second,reference_Q_std,total/steps,reference_action_std,rollout/Q_mean,train/loss_actor,reference_action_mean,rollout/error,rollout/episode_steps,reference_actor_Q_std,rollout/return_history,rollout/return,total/duration,train/loss_critic,rollout/actions_mean,success rate,total/epochs,errors,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,total/episodes,reference_Q_mean,rollout/goal_tolerance,rollout/episodes
19.82340708625856,1.8092456,1198998,0.8123952,-1.5641403,0.7447679,0.08252049,0.0028,4.4359412633051045,1.419266,-5.29,-3.4361003511030703,60483.95186471939,0.023080543,0.0021934912,1.0,1,0.0008815255786143935,-0.57709247,0.74645615,0.0,270291,-1.0715274,0.00182,270291
19.822967448760426,1.778678,1199998,0.8048425,-1.5643169,0.7868758,0.083533555,0.04306,4.436825000092434,1.3956743,-5.03,-3.4369839867190706,60535.73982310295,0.023985527,0.0021999697,1.0,1,0.0009955027142572862,-0.56260514,0.7464304,0.0,270463,-1.0406318,0.00182,270463
19.82385629009461,1.9440428,1200998,0.80496144,-1.5644428,0.7795092,0.092141636,0.00039,4.437596529733005,1.6733122,-4.41,-3.437755411207425,60583.46985697746,0.023309749,0.0022167051,1.0,1,0.000874133819335329,-0.6927364,0.7464032,0.0,270642,-1.1366783,0.00182,270642
19.82471514022664,1.835256,1201998,0.8087943,-1.5645752,0.75280416,0.08936799,0.01983,4.438317418821218,1.4463934,-4.73,-3.4384761946961473,60631.287334918976,0.024377577,0.0022381085,1.0,1,0.0009479058196141466,-0.59759367,0.74637395,0.0,270822,-1.076222,0.00181,270822
19.82526701034503,1.8697959,1202998,0.81799,-1.5648268,0.7888454,0.05839643,0.03268,4.439132392120975,1.5010004,-4.63,-3.4392910648787076,60680.04024219513,0.022857264,0.002224306,1.0,1,0.0008931913342656247,-0.62933546,0.7463432,0.0,270998,-1.092071,0.00181,270998
19.82581203243573,1.8965483,1203998,0.8135711,-1.5650893,0.7758993,0.051991206,0.02291,4.4400060478889545,1.5008279,-5.13,-3.4401646205871614,60728.81141161919,0.023385108,0.0022285895,1.0,1,0.0008531221526400676,-0.6306384,0.7463217,0.0,271169,-1.0973108,0.00181,271169
19.825663083986388,1.8681267,1204998,0.81055903,-1.5652124,0.7680034,0.088879436,0.00663,4.440548050205998,1.4850636,-3.4,-3.440706510123009,60779.7073366642,0.021717478,0.0022297115,1.0,1,0.0009112017802265156,-0.6126088,0.74629986,0.0,271362,-1.0796603,0.0018,271362
19.82619233310316,1.8801901,1205998,0.8004247,-1.5654423,0.7787108,0.111192785,0.0466,4.4414217004132075,1.5160222,-4.72,-3.441580059955659,60828.523184776306,0.027330995,0.0022478902,1.0,1,0.0009700613831191998,-0.6381718,0.74627185,0.0,271534,-1.0855582,0.0018,271534
19.82708835524259,1.8936455,1206998,0.8017131,-1.5656414,0.78283316,0.10413578,0.07112,4.4424393439726755,1.5173956,-4.82,-3.442597609092515,60876.210282325745,0.023648601,0.0022432255,1.0,1,0.0008730141523900671,-0.6161355,0.74623996,0.0,271696,-1.0766523,0.0018,271696
19.827781049934693,1.9009662,1207998,0.8024705,-1.5657707,0.7744773,0.10694919,0.02521,4.443083973621006,1.5065591,-3.94,-3.4432421298867526,60924.51782464981,0.026226452,0.0022814763,1.0,1,0.0009669884240464131,-0.639749,0.74621534,0.0,271883,-1.1213161,0.00179,271883
19.828385701912598,1.851469,1208998,0.8058987,-1.5660621,0.7813757,0.095573284,0.01791,4.443836331424455,1.4963211,-4.77,-3.4439943836331426,60973.092725515366,0.027347052,0.0022815492,1.0,1,0.0009769435590130575,-0.6108612,0.74619263,0.0,272062,-1.073271,0.00179,272062
19.829184210883465,1.7991031,1209998,0.80570143,-1.5663432,0.7720276,0.09150741,0.02012,4.444654637887715,1.3960273,-4.73,-3.444812589077124,61021.068094968796,0.024742883,0.0022765745,1.0,1,0.0009215865343877801,-0.58549386,0.7461714,0.0,272236,-1.0732479,0.00178,272236
19.829698934185178,1.8818247,1210998,0.813065,-1.5665027,0.77340484,0.106989086,0.02655,4.445289127569993,1.5603157,-4.76,-3.445446970336572,61069.913568496704,0.02333884,0.0022762306,1.0,1,0.0008406267674402695,-0.65181744,0.74614644,0.0,272423,-1.1113324,0.00178,272423
19.829866919690495,1.8852367,1211998,0.8122116,-1.5667219,0.7710042,0.0835225,0.01391,4.446169027931649,1.5225234,-4.97,-3.4463267716824286,61119.82520651817,0.023372233,0.0022937024,1.0,1,0.0008491634121732999,-0.64100266,0.7461248,0.0,272594,-1.0879401,0.00178,272594
19.8303500474679,1.8336997,1212998,0.80819976,-1.5669317,0.7790216,0.07828782,0.00403,4.447034799313692,1.4813405,-4.09,-3.4471924447507734,61168.76389455795,0.025279311,0.0023047447,1.0,1,0.0009463686081026527,-0.6315894,0.74608594,0.0,272764,-1.0957476,0.00177,272764
19.830750248258642,1.8118489,1213998,0.8055794,-1.5669911,0.78804755,0.08421528,0.01239,4.447715315737796,1.4103626,-4.32,-3.4478728549027653,61217.95619440079,0.023891503,0.0023112593,1.0,1,0.0008736722447683782,-0.59701383,0.74603724,0.0,272948,-1.0604827,0.00177,272948
19.831101748743386,1.9423875,1214998,0.8032196,-1.567224,0.76580846,0.118660115,0.00254,4.448564733450498,1.5666057,-4.78,-3.448722173403632,61267.29696583748,0.031751167,0.0023159476,1.0,1,0.0008662035746023518,-0.7145726,0.7460117,0.0,273120,-1.1691483,0.00177,273120
19.831752027754977,1.8728708,1215998,0.8055147,-1.5674736,0.7840133,0.075138174,0.02812,4.449531079048765,1.4699831,-4.64,-3.4496884227936198,61315.71221232414,0.024393924,0.0023177308,1.0,1,0.0008176600411588125,-0.60830474,0.7459856,0.0,273287,-1.0506707,0.00176,273287
19.83226412199924,1.8409952,1216998,0.8051352,-1.5676852,0.7694705,0.11782067,0.00644,4.450376291788867,1.4204675,-4.98,-3.450533537142815,61364.551849126816,0.02335887,0.0023358767,1.0,1,0.0008568248291328211,-0.61350465,0.7459637,0.0,273458,-1.0841472,0.00176,273458
19.832703690274048,1.9607916,1217998,0.80087966,-1.5678482,0.7845025,0.10046023,0.00384,4.451034921284589,1.5952371,-4.49,-3.451192059756472,61413.613545656204,0.023452245,0.0023779476,1.0,1,0.0009195820249257218,-0.6938639,0.7459439,0.0,273644,-1.1677392,0.00176,273644
